sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code
train-027176,train,노년,여성,"건강,죽음",만성질환 무,분노,툴툴대는,ANGRY,가족들은 건강한 나를 노인 복지 시설에 맡기려고 해. 응. 가족들은 내가 건강하다는 걸 뻔히 알면서 보내려는 게 괘씸해. 나 아직 건강하다고 노인 복지 시설 직원들에게 티를 낼 거야.,Pro_12182,Pro_12182_00003,E11,S11_D02
train-007346,train,청년,여성,대인관계,해당없음,당황,한심한,ANGRY,친구가 어제 지갑을 잃어버렸대. 벌써 세 번째야. 친구에게 지갑을 가방에 넣어서 가지고 다니라고 했어.,Pro_05149,Pro_05149_00040,E58,S04_D02
train-005036,train,중년,남성,건강,해당없음,분노,분노,ANGRY,지금까지 열심히 살아왔고 이제 좀 행복하려나 했는데 건강에 이상이 와서 화가 나. 내가 암에 걸렸을 수도 있대. 지금 조직 검사 결과 기다리는 중이야.,Pro_07261,Pro_07261_00032,E10,S09_D02
train-025887,train,노년,여성,재정,만성질환 무,분노,툴툴대는,ANGRY,이번 경로당에서 열린 잔치에 돈이 너무 많이 들었어. 그렇게 좋은 것도 없었는데 말이야. 잔치에 먹을거 하나 없고 재미도 없었는데 이번달 예산을 다 썼다 하더라고. 정말 이해가 안돼. 지출 내역서를 공개하라고 해야겠어. 이상한 곳에 썼으면 혼쭐을 내야지.,Pro_12422,Pro_12422_00007,E11,S13_D02
train-009391,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,구역질 나는,ANGRY,남편이 술을 먹고 만취돼서 토가 나와 옷에 가득 묻었어. 비싼 옷을 버려 속상해. 응. 술 먹는 남편만 생각하면 이제 구역질이 나. 금주 학원에서 하는 프로그램에 참여시켜야겠어.,Pro_08588,Pro_08588_00011,E17,S07_D02
train-019822,train,청년,남성,"연애,결혼,출산",해당없음,분노,구역질 나는,ANGRY,아내가 데려온 강아지의 배설물이 집 곳곳에 있어서 정말 화가 나. 맞아. 아내가 데려온 강아지면서 전혀 관리를 하지 않아. 강아지를 돌봐주지 않으면 키우지 않겠다고 할 거야.,Pro_03668,Pro_03668_00009,E17,S05_D02
train-007865,train,노년,남성,"건강,죽음",만성질환 유,분노,악의적인,ANGRY,나이 육십이 넘고 보니 건강을 챙기지 못한 것이 후회가 돼. 고혈압과 당뇨가 있으니 제대로 살다가 죽을지 모르겠어. 약을 밥 먹듯 하고 살아야 하니 사는 것이 의미가 없어.,Pro_10566,Pro_10566_00004,E15,S11_D01
train-037096,train,청소년,여성,학업 및 진로,해당없음,당황,한심한,ANGRY,다른 애들이 공부도 안하고 노는 모습을 보니 참 한심해. 앞으로 자라서 뭐가 되려는지 걱정이다 내가 정말. 난 반드시 열심히 공부해서 좋은 대학에 갈꺼야.,Pro_01789,Pro_01789_00015,E58,S02_D02
train-020714,train,청소년,여성,가족관계,해당없음,분노,분노,ANGRY,비교대상인 언니를 볼 때마다 미칠 것만 같아. 언니를 따라잡을 수가 없어. 비교가 되는 것보다도 그게 더 힘들어. 그건 아니겠지만 엄마가 주로 비교를 하는 부분에서는 그래.,Pro_01621,Pro_01621_00014,E10,S01_D02
train-015524,train,중년,남성,"직장, 업무 스트레스",해당없음,분노,노여워하는,ANGRY,사용 못한 연차가 있는데 사용할 시간이 없어서 피곤하고 짜증 나. 다른 사람들은 연차도 내고 쉬다 오는데 나는 못 쉬고 일만하게 생겼어. 얼른 일을 해결하고 연차를 반드시 낼 거야.,Pro_07389,Pro_07389_00009,E18,S10_D02
train-042142,train,노년,여성,대인관계,만성질환 무,분노,툴툴대는,ANGRY,딸과 한집에 사는데 나를 없는 사람처럼 취급해서 학대받는 느낌이야. 이건 다 내 탓이야. 이게 다 내가 못 배운 탓이지. 노인정에 가서 이야기를 나눌 수 있는 사람들을 찾아봐야겠어.,Pro_11342,Pro_11342_00035,E11,S04_D02
train-023075,train,중년,남성,"직장, 업무 스트레스",해당없음,분노,구역질 나는,ANGRY,같은 부서 사람이 청결 관리를 하지 않아서 업무 도중에 스트레스를 받아. 계속 더럽다고 이야기를 해줬는데 정말 어디까지 참아야 할지 모르겠어. 부서장님께 이 일과 관련해 제대로 이야기를 해봐야겠어.,Pro_07388,Pro_07388_00001,E17,S10_D02
train-043141,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,짜증내는,ANGRY,학교도 제대로 다니지 않았다고 급여를 너무 적게 줘서 빈곤해. 지긋지긋하다. 이렇게 사는 것도 전부 다 학교를 제대로 다니지 않은 내 탓이지. 이젠 진절머리가 나. 아무것도 없어. 늘 나를 기다리는 건 괴로움뿐이야.,Pro_08704,Pro_08704_00038,E13,S08_D02
train-023431,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,짜증내는,ANGRY,요즘 남편과 은퇴 후 어디서 살지 결정하느라 매일같이 다퉈서 화가 나. 나는 그냥 지금 살고 있는 아파트에서 살고 싶어. 친구 중에도 같은 문제를 겪은 친구가 있는데 물어봐야겠어.,Pro_08704,Pro_08704_00028,E13,S08_D02
train-034594,train,청소년,남성,학교폭력/따돌림,해당없음,분노,성가신,ANGRY,학교폭력을 해결해 줄 것도 아닌데 도와주겠다고 나서는 애들 때문에 너무 짜증 나. 오히려 그런 애들 때문에 피해자가 더 힘들어지는 것 같아. 뒤에서 몰래 신고하거나 조금씩 도와주는 게 가장 나을 것 같아.,Pro_00310,Pro_00310_00019,E19,S03_D02
train-001350,train,중년,남성,"재정,은퇴,노후준비",해당없음,분노,악의적인,ANGRY,요즘 형편이 어렵다는 친구에게 전화가 오는데 그동안의 무소식에 화가 나서 안 받고 있어. 그 친구는 그동안 아무런 연락도 없더니 내가 필요할 때만 나를 찾더라고. 모르겠어. 내 속을 누가 알아주면 좋겠어.,Pro_07146,Pro_07146_00004,E15,S08_D02
train-045508,train,중년,여성,"직장, 업무 스트레스",해당없음,당황,한심한,ANGRY,일이 너무 스트레스받아. 그런데 애들 먹여 살리려면 관둘 수가 없어. 근데 너무 스트레스받아서 이러다가 쓰러질 거 같아. 휴가 좀 내고 집에서 쉬어야겠어.,Pro_08989,Pro_08989_00031,E58,S10_D02
train-044283,train,노년,여성,재정,만성질환 무,당황,한심한,ANGRY,딸의 결혼식에 돈을 보태야 하는데 퇴직으로 인해 돈이 부족하네. 잘해준 적도 없는 딸이라 결혼식이라도 챙겨주고 싶었는데. 넉넉하진 않지만 그동안 모아둔 돈이라도 줘야겠어.,Pro_12469,Pro_12469_00023,E58,S13_D02
train-029832,train,중년,여성,건강,해당없음,분노,구역질 나는,ANGRY,음식 냄새만 나면 자꾸 구역질이 나려고 해. 갑자기 왜 이러지? 병원에 가봐야겠지? 큰 병은 아니였음 좋겠어.,Pro_08828,Pro_08828_00034,E17,S09_D02
train-026544,train,청년,여성,"연애,결혼,출산",해당없음,슬픔,환멸을 느끼는,ANGRY,남자친구가 바람을 피워서 헤어졌어. 밥도 먹기 싫고 아무것도 하기 싫다. 그냥 혼자 여행을 가서 생각 정리를 하고싶어.,Pro_05240,Pro_05240_00009,E29,S05_D02
train-009294,train,중년,여성,"재정,은퇴,노후준비",해당없음,슬픔,환멸을 느끼는,ANGRY,몇 년 후면 은퇴인데 뭐 하고 살았나 회의감이 들어. 대책 없이 노후를 맞이하니까 그렇지. 응 지금이라도 노후를 위해 계획을 잘 세워 봐야겠어.,Pro_08720,Pro_08720_00012,E29,S08_D02
train-019827,train,청년,남성,"진로,취업,직장",해당없음,분노,악의적인,ANGRY,이번에 들어온 신입 중에 나를 무시하는 애가 있거든? 걔한테 일을 일부러 틀리게 알려줬어. 맞아. 매번 내려다보면서 나를 깔보는 눈빛이 너무 마음에 안 들어. 걔를 골탕 먹이려고 일을 잘못 알려줬어.,Pro_03786,Pro_03786_00020,E15,S06_D02
train-017580,train,노년,여성,대인관계,만성질환 무,상처,억울한,ANGRY,사람들과 시비를 많이 했더니 노망이 났다고 소문이 나서 너무 억울했어. 나는 정당한 일이 아니어서 사람들과 시비가 붙은 거였는데 노망이라니 상처가 되었어. 사람들에게 시비가 붙은 이유를 자세히 설명하는 게 좋겠어.,Pro_11378,Pro_11378_00019,E47,S04_D02
train-012239,train,청년,여성,"연애,결혼,출산",해당없음,슬픔,환멸을 느끼는,ANGRY,결혼생활이 지긋지긋해. 환멸이나. 시댁은 내가 자기네들 종인 줄 아나 봐. 이러려고 결혼한 게 아닌데.,Pro_05240,Pro_05240_00002,E29,S05_D02
train-037859,train,청소년,남성,가족관계,해당없음,당황,한심한,ANGRY,일 안 하는 누나가 정말 한심해. 맞아. 나이가 벌써 서른인데 어째서 그러는지 모르겠어.,Pro_00109,Pro_00109_00030,E58,S01_D02
train-015445,train,중년,남성,"재정,은퇴,노후준비",해당없음,분노,짜증내는,ANGRY,노후 준비를 못해서 너무 불안해. 아내까지 노후 준비를 안했다고 화를 내서 더 힘들어. 맞아. 하루 종일 잔소리를 해서 눈치를 보게 돼. 아내와 진지하게 며칠정도 이야기를 해보고 최선책을 찾아봐야겠어.,Pro_07144,Pro_07144_00004,E13,S08_D02
train-036331,train,청소년,여성,학업 및 진로,해당없음,당황,한심한,ANGRY,오늘 모의고사에서 다시 등급이 떨어졌어. 나는 대체 왜 이럴까. 나는 똑바로 할 줄 아는게 없는 것 같아.,Pro_01789,Pro_01789_00026,E58,S02_D02
train-041478,train,노년,남성,대인관계,만성질환 무,당황,한심한,ANGRY,나 이제 은퇴하고 싶어. 자녀 교육과 결혼 문제가 해결되지 않아 책임감이 무거워. 겉으론 비슷해 보여도 사정이란 게 다들 조금씩 다르니 크게 도움은 못 돼.,Pro_09829,Pro_09829_00003,E58,S04_D02
train-028876,train,청년,남성,"진로,취업,직장",해당없음,상처,질투하는,ANGRY,이번에 사촌 동생이 회계사 일차시험에 합격했대. 최종합격하기가 쉽지 않은 시험이야. 하지만 사촌 동생보다 내가 잘 돼서 더 성공할 거야. 사촌 동생이 회계사에 합격하더라도 그것보다 내가 더 성공해 보이고 말겠어.,Pro_03812,Pro_03812_00021,E41,S06_D02
train-050908,train,노년,남성,대인관계,만성질환 무,당황,한심한,ANGRY,아들네 부부는 저녁을 밖에서 따로 먹고 들어오네. 나는 집에 혼자 두고. 노인네가 재산도 없이 자식 집에 얹혀사니 할 말이 없지. 외롭구먼. 동네 친구나 만나서 술이나 한잔하고 들어와야겠어.,Pro_09829,Pro_09829_00025,E58,S04_D02
train-017373,train,노년,남성,"건강,죽음",만성질환 무,상처,억울한,ANGRY,아내는 허리 꺾는 스트레칭이 좋다는데 텔레비전에서는 허리를 망치는 습관이라고 하니 뭘 믿어야 할지 모르겠어. 이걸로 어제는 아내와 한참을 싸웠다니까. 난 텔레비전에서 봤는데 아내는 틀렸다고 하고. 지금 인터넷으로 정보를 더 찾아봐야겠어. 그럼 누가 맞는지 알게 되겠지.,Pro_10658,Pro_10658_00005,E47,S11_D02
train-016912,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,노여워하는,ANGRY,아무 경험도 없는 아들이 사업한다고 노후자금을 자기에게 투자해 달라는 게 어처구니가 없어. 망할 게 뻔하기는 하지만 하나뿐인 아들이라 어떻게 거절해야 할지 걱정이야. 이번에는 단단히 혼내야겠어. 자기 앞가림은 스스로 하게 해야지.,Pro_08589,Pro_08589_00012,E18,S07_D02
train-005993,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,짜증내는,ANGRY,요즘 코로나 때문에 수입이 줄어 너무 힘들어. 이제 아이들 학교도 다 마쳤고 이제 노후준비 좀 하려 했는데 경제가 이 상태니 정말 짜증 나. 여유자금을 노후준비로 저축 좀 하려 했는데 금리도 떨어지고 경제 사정도 안 좋아졌어.,Pro_08704,Pro_08704_00031,E13,S08_D02
train-041438,train,노년,남성,재정,만성질환 무,분노,악의적인,ANGRY,나이가 들어 무능력해지니 죽고 싶은 생각이 많이 들어. 은퇴를 하고 나니 신분과 직위를 모두 상실한 느낌이야. 무엇을 해도 예전 같지 않을테니 뭘 해 볼 도리가 없지.,Pro_10866,Pro_10866_00006,E15,S13_D02
train-041599,train,노년,남성,대인관계,만성질환 무,분노,노여워하는,ANGRY,집에서 나만 따돌림을 당하고 있어. 텔레비전을 볼 때도 내가 무슨 말만 하면 대화가 뚝 끊기고 내 말은 듣지도 않아. 세대차이인지 내 생각을 말하면 무조건 고리타분하다고 생각하는 거 같아. 나를 권위적인 사람이라고 생각하는 거지.,Pro_09789,Pro_09789_00029,E18,S04_D02
train-041781,train,노년,남성,대인관계,만성질환 무,슬픔,환멸을 느끼는,ANGRY,낙엽이 떨어지니 너무 슬프다. 왜 이렇게 슬픈지 모르겠어. 불쌍한 친구들밖에 없어.,Pro_09800,Pro_09800_00008,E29,S04_D02
train-033832,train,청소년,남성,학교폭력/따돌림,해당없음,상처,억울한,ANGRY,내가 잘못한 일이 아닌데도 맞은 것에 대해 어떻게 설명해야 할지 모르겠어. 내가 아무리 말해도 친구들은 분명 내가 잘못했다고 생각할 것 같아. 응. 그래서 더 억울하지.,Pro_00338,Pro_00338_00010,E47,S03_D02
train-001725,train,청년,남성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,나는 시키는 대로 했는데 일을 못 한다는 소리를 들었어. 응 완전 안 좋아. 상사와 대화를 좀 해야겠어. 말로 하면 감정이 격해질 수 있으니까 메일로 차분히 정중하게 이야기해 보려고.,Pro_03785,Pro_03785_00002,E14,S06_D02
train-039068,train,노년,여성,대인관계,만성질환 유,상처,질투하는,ANGRY,내 주위에 친구들이 하나둘씩 줄어들고 있어. 아파서 병원에 있기도 하고 영영 떠나기도 하고. 딱히 방법을 찾기가 어려워. 나이가 들면서 생기는 자연스러운 현상이라고 생각해야지. 이제와서 뭘 한다고 나아질까? 지금처럼 지내는 거지.,Pro_11312,Pro_11312_00008,E41,S04_D01
train-045132,train,노년,남성,대인관계,만성질환 무,분노,짜증내는,ANGRY,이 나이 먹고 자식들 외에 연락되는 지인 하나 없어. 나는 뭐 하고 살았나 허탈해. 자식들에게만 기대려는 나 자신이 지긋지긋해. 가까운 노인정이라도 가서 장기라도 시작해봐야겠어.,Pro_09784,Pro_09784_00031,E13,S04_D02
train-031007,train,중년,남성,"대인관계(부부, 자녀)",해당없음,당황,한심한,ANGRY,아들놈이 공부는 안하고 하루종일 지 방에서 게임만 하고 자빠져 있어. 저래가지고 어쩌려고 하는지 정말 걱정이다. 와이프한테 아이가 요즘 왜 저러는지 이야기 좀 해야겠어.,Pro_07069,Pro_07069_00026,E58,S07_D02
train-037402,train,청소년,여성,가족관계,해당없음,상처,억울한,ANGRY,요즘 엄마가 나만 혼내서 몹시 억울해. 계속 동생이랑 비교하셔. 나도 나름대로 열심히 하는데.,Pro_01658,Pro_01658_00029,E47,S01_D02
train-012322,train,청년,남성,"연애,결혼,출산",해당없음,분노,구역질 나는,ANGRY,왜 다들 나만 보면 결혼 얘기를 하는지. 정말 구역질 나. 정말 지겨워. 다들 무슨 참견이 그리 많은지 모르겠어. 그냥 날 놔뒀으면 좋겠어.,Pro_03668,Pro_03668_00022,E17,S05_D02
train-006350,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,구역질 나는,ANGRY,요즘 과도한 업무에도 스트레스를 받지만 더욱 스트레스를 유발하는 사건이 생겼어. 팀원 중 여자 후배가 글쎄. 팔 년이나 어린 연하하고 사귀고 있다는데 너무 한 것 아닌가 싶네.,Pro_08948,Pro_08948_00009,E17,S10_D02
train-015198,train,중년,남성,건강,해당없음,분노,툴툴대는,ANGRY,요즘 몸이 좋지 않아서 아무것도 못하겠어. 나 자신에게 너무 화가 나. 건강을 회복하기 위해서 운동을 할까 하는 데 수영이 좋을지 등산이 좋을지 모르겠어. 아무래도 예전에도 자주 했었던 등산이 좋을 것 같아.,Pro_07262,Pro_07262_00012,E11,S09_D02
train-045980,train,청년,여성,대인관계,해당없음,분노,방어적인,ANGRY,부모님으로부터 독립하고 싶은데 내가 혼자 잘 살아갈 수 있을지 모르겠어. 나는 다른 친구들과 달리 능력도 없어서 지금까지 부모님께 의존하며 살아왔어. 이런 내가 너무 한심해. 우선 부모님께 진심으로 내 마음을 표현해야 할 것 같아.,Pro_05105,Pro_05105_00022,E14,S04_D02
train-029616,train,노년,남성,대인관계,만성질환 무,분노,구역질 나는,ANGRY,이제 사람 만나기 구역질이 나. 예순이 넘어가니깐 사람들이 나한테 약을 계속 팔려고 해.,Pro_09788,Pro_09788_00024,E17,S04_D02
train-019836,train,청년,남성,"진로,취업,직장",해당없음,분노,악의적인,ANGRY,점심에 팀장님이 밥 산다고 같이 가자는데 너무 싫어. 평소에 나를 구박하고 무시하면서 한 번씩 밥 사주는 걸로 무마하려고 해서 화가 나. 그 가게에서 제일 비싼 메뉴로 먹어볼까 해.,Pro_03786,Pro_03786_00023,E15,S06_D02
train-015525,train,중년,남성,"직장, 업무 스트레스",해당없음,분노,노여워하는,ANGRY,내가 신경 써 주고 좋게 대우해 준 부하가 퇴사를 한다고 해서 허탈해. 퇴사하는 부하가 어떤 이유로 퇴사하는지 물어보고 싶어. 직접 물어봐야겠어. 내일 점심때 밥을 먹으면서 다른 불만사항을 들어봐야겠다.,Pro_07389,Pro_07389_00006,E18,S10_D02
train-007973,train,노년,여성,재정,만성질환 무,분노,구역질 나는,ANGRY,내 주변에 부자도 아니면서 항상 돈 자랑하는 사람 정말 맘에 안 들어. 속이 울렁대지만 참고 있는 나도 불쌍한 생각이 드네.,Pro_12428,Pro_12428_00005,E17,S13_D02
train-013709,train,청년,여성,"연애,결혼,출산",해당없음,당황,한심한,ANGRY,애인이 험담 하는 거 남 얘기인줄 알았는데 내가 그럴 줄은 몰랐어. 이제야 깨달은 게 한심하다. 헤어진 것도 아니고 그 사람의 면모를 알고 나니까 다 후회되고 내가 너무 바보 같아. 요즘 피포페인팅이 유행이라던데 그런 거라도 하면서 시간을 보내야 될까.,Pro_05269,Pro_05269_00033,E58,S05_D02
train-043942,train,노년,남성,대인관계,만성질환 무,분노,짜증내는,ANGRY,나의 틱장애 때문에 아내가 집을 나가버렸어. 이젠 나 자신이 지긋지긋해. 아내가 없으니 틱까지 있는 나는 혼자선 아무것도 할 수 없어. 자식들에게 도움을 받고 틱 완치를 위해서 병원을 열심히 다닐 거야.,Pro_09784,Pro_09784_00011,E13,S04_D02
train-029543,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,툴툴대는,ANGRY,하루종일 서서 일 하려니 너무 힘들어. 손님 없을 때 잠깐 앉아 있으면 지점장이 눈치를 주고. 눈치라도 주지 말아야지. 자기도 한번 온종일 서있어 보라지.,Pro_08942,Pro_08942_00026,E11,S10_D02
train-037688,train,청소년,여성,학교폭력/따돌림,해당없음,슬픔,환멸을 느끼는,ANGRY,애들한테 따돌림 당하는 것도 이젠 지긋지긋해. 내가 대체 뭘 잘못했다고 그러는지 알 수가 없어. 앞으로는 더 이상 못 참겠어. 증거를 모으고 학교폭력으로 신고할 거야.,Pro_01880,Pro_01880_00020,E29,S03_D02
train-041855,train,노년,여성,재정,만성질환 무,상처,질투하는,ANGRY,아들만 셋인데 대학 보낸다고 노후준비해놓은 것이 없어. 대학공부까지 시켰는데도 자립을 못했어. 요즈음 취업이 쉬운일도 아니고 명문대학을 나온 것도 아니고 어디든 취직이나 빨리 했으면 좋겠네.,Pro_12452,Pro_12452_00030,E41,S13_D02
train-009847,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,분노,ANGRY,하는 일마다 자꾸 꼬여서 정말 화가 나고 미치겠어. 우선 정리할 것 정리하고 대책을 세워 봐야지.,Pro_08701,Pro_08701_00021,E10,S08_D02
train-005789,train,청년,남성,"연애,결혼,출산",해당없음,분노,짜증내는,ANGRY,아내가 곧 출산을 앞두고 있는데 사소한 것에 대해 예민해지니 나도 점점 짜증이 나. 나도 노력을 많이 하고 있는데 요즈음 매일매일 불만을 얘기하니 짜증 섞인 대화만 늘어가네.,Pro_03664,Pro_03664_00014,E13,S05_D02
train-028758,train,청년,여성,"연애,결혼,출산",해당없음,분노,방어적인,ANGRY,결혼은 해도 아기는 안 낳을 거야. 부부가 함께 맞벌이하면서 각자 취미생활도 하고 즐겁게 자기 인생을 사는 것이 중요하다고 생각해. 아기가 생기면 개인적인 삶이 없어질 것 같아. 부부가 의견이 일치한다면 딩크족으로 살고 싶어. 아기를 원하는 사람과는 결혼하지 않을 생각이야.,Pro_05225,Pro_05225_00002,E14,S05_D02
train-000513,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,성가신,ANGRY,퇴직 후 쉴 틈도 없이 남편이 구직하라고 매일 성화니 성가셔 죽겠어. 내가 허리가 아파서 일을 관둔 걸 알면서도 돈을 벌라고 일을 알아보라고 닦달을 하니 서운해. 아무래도 남편하고 저녁에는 구직에 대해 이야기를 해 봐야겠어.,Pro_08710,Pro_08710_00023,E19,S08_D02
train-045186,train,중년,여성,"재정,은퇴,노후준비",해당없음,상처,억울한,ANGRY,빚 때문에 생계 부양이 힘들어져서 우울증이 심해졌어. 너무 힘들어. 상황이 더 나아질 수 없을 거라는 부정적인 생각만 들어. 주변 사람들에게 마음을 털어놓고 싶어.,Pro_08738,Pro_08738_00014,E47,S08_D02
train-019840,train,청년,여성,"연애,결혼,출산",해당없음,분노,성가신,ANGRY,일도 해야 하고 아이도 키워야 하고 너무 힘들어. 특히 요즘 일이 너무 정신 없이 바빠서 더 피곤해. 남편과 이야기를 통해 육아 부담을 나눠봐야겠어.,Pro_05230,Pro_05230_00040,E19,S05_D02
train-007122,train,청년,여성,"연애,결혼,출산",해당없음,분노,짜증내는,ANGRY,결혼하면 집안일 다 해줄 것처럼 하더니 매일 나만 해! 앞으로 역할 분담해서 같이 하지 않으면 나도 안 해 버릴 거야!,Pro_05224,Pro_05224_00007,E13,S05_D02
train-018554,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,분노,ANGRY,아들이 밤에 잠도 안자고 게임만 하는데 정말 화가 치밀어 올라. 저녁에 푹 자야 학교 가서 공부도 잘 할 수 있는데 내 말을 전혀 듣지를 않아. 열한 시 이후로 인터넷을 차단해야겠어.,Pro_08581,Pro_08581_00044,E10,S07_D02
train-019837,train,청년,여성,"연애,결혼,출산",해당없음,분노,성가신,ANGRY,요즘 매일 새벽에 아이가 깨서 잠을 잘 못 자. 아이 우는 소리에 깨는 일상이 너무 힘들고 남편이 원망스럽기까지 해. 남편에게 다시 강조해서 이야기해봐야겠어.,Pro_05230,Pro_05230_00037,E19,S05_D02
