sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,manual_relabel_reason
train-042768,train,노년,여성,대인관계,만성질환 무,분노,툴툴대는,ANGRY,가방끈이 짧으니 모임에서 항상 구석에 자리하고 있어. 이런 내가 실망스러워. 아무도 내게 관심을 갖지 않고 발언을 해도 무시해. 바보 같은 내가 맘에 안 들어. 학벌은 사람의 일부일 뿐임을 잊지 말아야겠어. 앞으로 그런 모임도 그만둘 거야.,Pro_11342,Pro_11342_00001,E11,S04_D02,
train-014905,train,노년,여성,"건강,죽음",만성질환 무,분노,구역질 나는,ANGRY,자녀들이 재산 분배 얘기만 하면 나는 불쾌해져. 다들 정신이 있는 건지 모르겠어. 내 배로 낳은 것들이 참 독하다 독해. 어차피 내 재산이니까 나 하고 싶은 대로 처리해야겠어.,Pro_12188,Pro_12188_00032,E17,S11_D02,
train-033612,train,중년,여성,"대인관계(부부, 자녀)",해당없음,분노,성가신,ANGRY,남편이 너무 성가셔. 이젠 귀찮을 지경이야. 관계를 개선하고 싶지도 않아. 내가 갱년기라 그런가.,Pro_08590,Pro_08590_00014,E19,S07_D02,
train-034073,train,청소년,남성,가족관계,해당없음,분노,분노,ANGRY,담임선생님이 내가 공부 못하게 생겼다고 해서 기분이 나빠. 선생님이 나한테 그런 말씀을 하신 이유가 궁금해. 선생님께 여쭤보면서 문제를 해결해야겠어.,Pro_00061,Pro_00061_00006,E10,S01_D02,
train-042561,train,노년,여성,재정,만성질환 무,당황,한심한,ANGRY,딸한테 계속 용돈 좀 빨리 보내라고 보채는 게 미안해. 딸한테 부담만 주는 것 같아. 내가 경제적으로 좀 더 풍족하면 딸한테 손 벌리는 일이 없을 텐데. 동 주민센터에 가서 지원제도도 알아보고 일자리도 알아봐야겠어.,Pro_12469,Pro_12469_00025,E58,S13_D02,
train-045473,train,노년,남성,대인관계,만성질환 유,당황,한심한,ANGRY,명절에 나를 찾아오는 사람이 하나 없네. 외롭다. 장애를 얻고 나서 주위 사람들한테 너무 까칠하게 대했나 봐. 지금은 후회와 죄책감뿐이야. 내가 저지른 일이니까 다시 내가 관계 회복을 해야지. 연락을 해봐야겠어.,Pro_09769,Pro_09769_00012,E58,S04_D01,
train-019726,train,중년,남성,"대인관계(부부, 자녀)",해당없음,분노,방어적인,ANGRY,아내가 너무 보기 싫어 화가 나. 미운 감정 밖에 없나 봐. 대화를 나눠도 더 화만 나고 미운 생각만 들어. 이제 어떤 방법을 찾는 것도 지쳤어.,Pro_07025,Pro_07025_00012,E14,S07_D02,
train-030482,train,청소년,여성,학업 및 진로,해당없음,분노,성가신,ANGRY,이제 고등학생인데 벌써 진로를 결정하라니 귀찮아. 앞으로 천천히 생각해볼거야.,Pro_01750,Pro_01750_00017,E19,S02_D02,
train-022755,train,중년,남성,"대인관계(부부, 자녀)",해당없음,상처,억울한,ANGRY,아내가 내가 바람을 피웠다고 확신하고 있어서 억울해. 아내가 날 믿어주지 않는 게 너무 상처야. 증거를 찾아다가 가져다줘야겠어! 지금 내 말은 아무것도 믿지 않거든.,Pro_07058,Pro_07058_00006,E47,S07_D02,
train-008926,train,청년,남성,"진로,취업,직장",해당없음,상처,억울한,ANGRY,오늘 매장에서 고객 과실 때문에 일어난 일을 나보고 사과하래서 사과했어. 고객이 왕이라고 무조건 사과해야 한다는데 너무 억울해. 응 퇴사하고 싶다. 그래도 힘내서 다녀야지.,Pro_03818,Pro_03818_00020,E47,S06_D02,
train-015466,train,노년,여성,재정,만성질환 무,슬픔,환멸을 느끼는,ANGRY,내가 애써서 모아놓은 돈들을 아들이 모두 써버렸어. 너무 속상하다. 맞아. 아들이 미안한 기색도 없어서 환멸을 느껴. 아무래도 이번에는 엄청 화를 내보아야겠어. 변할 수 있겠지?,Pro_12440,Pro_12440_00006,E29,S13_D02,
train-008063,train,청년,여성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,부모님이 자꾸 나중에 뭐가 되고 싶으냐고 물으셔. 진로에 관해 이야기하고 발표하는 수업이었는데 너무 창피했어. 맞아. 너무나도 중요한 안건이기 때문에 더욱더 그래.,Pro_05345,Pro_05345_00007,E14,S06_D02,
train-040071,train,노년,남성,재정,만성질환 무,분노,분노,ANGRY,젊은 나이에 정신 장애도 큰일이지만 노년의 정신 질환은 참으로 힘든 법이지. 회사에서 퇴직을 강요당하고 있어. 우울증이나 더 심각한 상황이 올 정도로 힘들어. 내가 왜 이렇게 대접을 받아야 하는지 처한 상황을 탓하다가는 결국 나 자신을 증오하게 될 것 같아.,Pro_10861,Pro_10861_00017,E10,S13_D02,
train-038674,train,노년,여성,대인관계,만성질환 무,분노,분노,ANGRY,아들이 도박을 해. 빚을 많이 져서 이혼도하고 신용불량자야. 어렸을 때는 말도 잘듣고 착했는데 성인이 되니 딴 사람이 됐어. 남편이 경비일하여 겨우 먹고 사는데 아들이 저모양이라 살 맛이 안나네. 마음이 편치 않으니 나를 챙겨야한다는 것 보다 아들이 스포츠토토 도박을 딱 끊었으면 좋겠는데.,Pro_11341,Pro_11341_00042,E10,S04_D02,
train-023795,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,분노,ANGRY,경력 단절 여성이라고 취업이 안 돼. 너무 화가 나. 너무 화가 나고 신고하고 싶어. 잠깐 커피 한잔하고 와야겠어.,Pro_08941,Pro_08941_00003,E10,S10_D02,
train-047231,train,중년,여성,"대인관계(부부, 자녀)",해당없음,상처,질투하는,ANGRY,어머니가 치매 판정을 받으셨어. 앞으로 내가 돌봐야 하는데 잘할 수 있을지 잘 모르겠어. 치매라는 병을 잘 알지도 못하는 내가 어떻게 어머니를 부양해. 난 자신이 없어. 어머니를 요양원에 맡기는 방법이 있어. 좋은 방법인지는 잘 모르겠어.,Pro_08612,Pro_08612_00023,E41,S07_D02,
train-036674,train,청소년,남성,학업 및 진로,해당없음,분노,방어적인,ANGRY,선생님이 내 진로 선택에 상관하지 않았으면 좋겠어. 내가 혼자 할 수 있는 일인데 지나치게 사사건건 간섭해서 짜증나. 선생님을 할수있는한 피해다닐래.,Pro_00185,Pro_00185_00016,E14,S02_D02,
train-028981,train,청년,남성,"연애,결혼,출산",해당없음,분노,짜증내는,ANGRY,와이프가 음악을 너무 크게 틀어놔. 난 안중에도 없나 봐. 계속 참았는데 이젠 말해야할 것 같아.,Pro_03664,Pro_03664_00032,E13,S05_D02,
train-002069,train,청년,여성,대인관계,해당없음,분노,악의적인,ANGRY,직장에서 상사와 부서 사람들과의 관계로 너무 힘들어서 요즘 정신과 치료를 받고 있어. 한 개의 프로젝트가 끝나기도 전에 나에게 또 다른 업무를 줘서 혼자서 일을 처리하기가 너무 힘들어. 모두들 자기 일로 바빠서 점심을 먹을 시간도 없는 상황이야. 프로젝트를 도와줄 동료가 없어.,Pro_05106,Pro_05106_00039,E15,S04_D02,
train-039138,train,노년,남성,재정,만성질환 무,분노,구역질 나는,ANGRY,내가 집에만 있으니 자식들도 날 무시하는 눈치야. 내가 사회적으로 경제활동이 끝났다고 그런 거 같아. 그럼. 돈이 중요한데 나는 돈 먹는 하마일 뿐이니까.,Pro_10868,Pro_10868_00015,E17,S13_D02,
train-036464,train,청소년,여성,학교폭력/따돌림,해당없음,슬픔,환멸을 느끼는,ANGRY,학교에서 벗들이랑 잘 지낼 줄 알았는데 벗들이 은근히 나를 따돌려서 너무 속상해. 일단 선생님께 이야기드려 보려고 해. 괜찮겠지?,Pro_01880,Pro_01880_00031,E29,S03_D02,
train-050963,train,노년,남성,재정,만성질환 무,분노,구역질 나는,ANGRY,사회생활에서 은퇴를 하니 괜히 자녀들 보기가 어색하게 느껴져. 자녀들한테 경제적으로 도와주고 싶은데 내가 더 도움을 받을 형편인 것이 싫어. 노년 일자리 구직사이트를 활용해봐야겠어.,Pro_10868,Pro_10868_00030,E17,S13_D02,
train-016316,train,노년,여성,재정,만성질환 무,분노,분노,ANGRY,내 아들놈이 너무 구두쇠라 나에게 어떤 것도 해주지 않아서 서운해. 그러니까. 내가 걔를 어떻게 키웠는데 돌아오는 것이 아무것도 없네. 이번 추석에는 생활비를 달라고 당당하게 요구해 봐야겠어.,Pro_12421,Pro_12421_00003,E10,S13_D02,
train-042772,train,청년,남성,대인관계,해당없음,분노,성가신,ANGRY,요즘 돈을 잘 못 벌어서 아들 옷도 좋은 걸 못 사줘서 내가 너무 한심스러워. 아빠가 되면 잘할 줄 알았는데 너무 큰 꿈이었나 봐. 내가 너무 못난 아빠 같아. 내가 더 노력해야지. 돈을 잘 버는 아빠가 되어야지.,Pro_03550,Pro_03550_00014,E19,S04_D02,
train-024027,train,노년,남성,"건강,죽음",만성질환 유,슬픔,환멸을 느끼는,ANGRY,어머니가 급성 백혈병으로 떠나셨는데 나도 이 병에 걸리게 되어서 너무 슬퍼. 지금 너무 기분이 안 좋고 우울해. 혼자서 여행을 떠나보려고 해 기분전환도 될 겸.,Pro_10580,Pro_10580_00008,E29,S11_D01,
train-043807,train,노년,남성,"건강,죽음",만성질환 무,상처,질투하는,ANGRY,몇 년 동안 고혈압약을 먹고 있는데 오늘 병원에 가보니 혈압이 떨어지지 않았다고 하네. 의사가 실력이 없는 거 같아. 모르겠어! 일단 병원을 바꿔야겠어.,Pro_10652,Pro_10652_00014,E41,S11_D02,
train-042095,train,청년,남성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,손발이 너무 떨려서 대기 중인 면접장을 그만 박차고 나와버렸어. 나 참 바보인가 봐. 대기 중이던 지원자들이 다 멋져 보여서 주눅 들기도 했고 이쪽이 적성인가도 의문이었거든. 그전에 적성검사를 해 보고 면접스터디 모임에 꾸준히 참여할 거야.,Pro_03785,Pro_03785_00016,E14,S06_D02,
train-021779,train,청소년,여성,가족관계,해당없음,분노,툴툴대는,ANGRY,집에서 아무 일도 아닌데 가족들에게 화내고 짜증을 내게 돼. 가족들이 나 때문에 상처받는 건 아닐까 싶으면서도 짜증을 내게 돼. 내가 마음을 좀 돌보고 차분하게 해 봐야겠어.,Pro_01622,Pro_01622_00029,E11,S01_D02,
train-004887,train,청년,여성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,직장에서는 아무래도 좀 더 방어적인 자세를 취할 수밖에 없는 것 같아. 그냥 직장에서 최근 친하게 지내자고 다가오는 사람이 생겼는데 내가 좀 방어적으로 대해,Pro_05345,Pro_05345_00014,E14,S06_D02,
train-005597,train,청년,남성,대인관계,해당없음,분노,툴툴대는,ANGRY,내 친한 친구가 있는데 자꾸 의견이 대립하고 안 맞는 거 같아. 매주 만날 때마다 똑같은 곳을 간다니까. 피시방 식당 카페 등 진짜 재미없어.,Pro_03542,Pro_03542_00023,E11,S04_D02,
train-015110,train,청년,남성,"연애,결혼,출산",해당없음,분노,악의적인,ANGRY,요즘 집안일 때문에 기분이 별로인데 자꾸 여자친구한테 그걸 풀고 있어. 사랑하긴 하는데 옆에 있으니까 자꾸 거슬리고 짜증이 나더라고. 복싱으로 스트레스를 푸는 게 좋은 것 같아.,Pro_03666,Pro_03666_00018,E15,S05_D02,
train-025396,train,노년,여성,재정,만성질환 유,분노,노여워하는,ANGRY,자식이 부동산 사기를 당해서 내 속이 터져 진짜. 그 사기꾼 잡히기만 해 봐! 일단 같은 피해자들이 있는지 좀 찾아보려고 해.,Pro_12369,Pro_12369_00010,E18,S13_D01,
train-024701,train,노년,남성,재정,만성질환 무,분노,성가신,ANGRY,친구가 자꾸 괜찮은 주식 정보가 있다며 전화를 걸어 성가시게 굴어. 난 주식 생각이 정말 없는데 화가 나. 친구에게 내 상황을 설명 해야겠어.,Pro_10870,Pro_10870_00058,E19,S13_D02,
train-051490,train,중년,남성,"재정,은퇴,노후준비",해당없음,분노,구역질 나는,ANGRY,내가 가족을 앞으로도 잘 이끌 수 있을지 모르겠어. 능력도 없고 내가 싫어. 열심히 해도 쥐꼬리만 한 월급에 계약이 끝나면 잘리기 일쑤야. 가족들에게도 너무 미안해. 가족들에게 지금 솔직한 심정을 털어놓아야겠어.,Pro_07148,Pro_07148_00011,E17,S08_D02,
train-018859,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,툴툴대는,ANGRY,내가 김 대리한테 일주일 전에 부탁한 자료를 아직도 안 주니까 답답해! 어려운 일도 아니고 바쁜 일도 없으면서 이렇게까지 해주지 않는 건 그냥 게으른 거잖아! 김 대리한테 한 소리 해야겠어!,Pro_08942,Pro_08942_00004,E11,S10_D02,
train-035623,train,청소년,여성,학교폭력/따돌림,해당없음,분노,짜증내는,ANGRY,나 너무 신경질 나. 학교 친구들이 거듭 나만 빼고 대화하고 나랑은 놀지 않아. 내가 이상한 사람인 것 같고 자존감도 낮아지는 것 같아서 기분 나빠.,Pro_01864,Pro_01864_00003,E13,S03_D02,
train-035521,train,청소년,여성,학교폭력/따돌림,해당없음,분노,노여워하는,ANGRY,우리반에 소극적인 친구를 왕따시키는 나쁜 무리가 있어. 완전 이해가 가지 않고 화가 나. 성격이 다르다고 그런 짓을 하다니 말도 안 돼!,Pro_01869,Pro_01869_00035,E18,S03_D02,
train-029699,train,중년,남성,"재정,은퇴,노후준비",해당없음,분노,구역질 나는,ANGRY,친구가 자꾸 나한테 돈자랑해. 꼴보기 싫어 죽겠어. 사채사업자인데 그렇게 번 돈으로 자랑하니까 더 역겨워.,Pro_07148,Pro_07148_00027,E17,S08_D02,
train-047571,train,노년,남성,재정,만성질환 무,분노,성가신,ANGRY,정년퇴직 후 살길이 막막해. 노후 자금을 모아놓지도 않았던 내가 무가치하게 느껴져. 지금 나이에 번듯한 직장을 찾기도 어려울 텐데 앞으로 어떻게 살아야 할지 막막해. 내가 지금 할 수 있는 일을 찾아야겠어. 내일 인력 사무소에 가봐야겠다.,Pro_10870,Pro_10870_00055,E19,S13_D02,
train-036903,train,청소년,여성,학교폭력/따돌림,해당없음,분노,노여워하는,ANGRY,내 친구가 왕따를 당하고 있어 내가 어떻게 해야할까. 내 친구를 따돌리는 애들 때문에 진짜 화가 나. 어떻게 해야 정리할 수 있을까.,Pro_01869,Pro_01869_00011,E18,S03_D02,
train-026890,train,청소년,여성,가족관계,해당없음,분노,구역질 나는,ANGRY,다이어트 하는 언니가 변비에 걸려서 변기가 자주 막혀. 자주 막히니까 더 힘들고 구역질 나. 변기가 막히면 제발 본인이 뚫으라고 말하고 싶어.,Pro_01628,Pro_01628_00008,E17,S01_D02,
train-040548,train,노년,남성,대인관계,만성질환 유,분노,방어적인,ANGRY,일하는곳에서 날 배제시키는거 같아. 나이가 먹었다고 참여시키지않는거같아. 유대감도없고 많이 부족한사람이 된거같아.,Pro_09725,Pro_09725_00023,E14,S04_D01,
train-035947,train,청소년,여성,학업 및 진로,해당없음,분노,노여워하는,ANGRY,수행평가 점수가 말도 안되게 나왔어. 확실히 다 적었는데 왜 점수를 안 주신거지? 그래. 매우 놀라고 억울하고 화가 나서 즉시 따지지도 못했어. 안 그래도 내일은 똑바로 말씀드릴거야.,Pro_01749,Pro_01749_00015,E18,S02_D02,
train-011168,train,중년,여성,"직장, 업무 스트레스",해당없음,슬픔,환멸을 느끼는,ANGRY,직장 상사가 나를 왕따시켜서 그 상사를 볼 때마다 환멸을 느껴. 나에 대해 자격지심이 있는 거 같아. 업무 처리를 내가 상사보다 더 잘한다고 주위에서 말을 했나 봐. 내가 일 잘하는 게 뭐가 문제지?,Pro_08960,Pro_08960_00014,E29,S10_D02,
train-001733,train,청년,남성,"진로,취업,직장",해당없음,분노,방어적인,ANGRY,회사에서 잘못한 일을 개인에게 책임지라고 하는 게 말이 돼? 억울해. 그 일도 백 퍼센트 내 잘못이 아니라고. 아까는 너무 감정적으로 내 잘못이 아니라고 말했는데 이성적으로 말해서 나의 억울함을 풀어야겠어.,Pro_03785,Pro_03785_00045,E14,S06_D02,
train-010165,train,중년,남성,"대인관계(부부, 자녀)",해당없음,분노,분노,ANGRY,내가 왜 위자료를 줘야 하는지 모르겠어. 너무 화가 나. 부인이 자식들을 챙기지 않고 놀러만 다녀. 그래서 이혼하자고 했어. 그런데 엄마의 일을 똑바로 하지 않으니 유책 배우자는 부인인데 나에게 위자료를 달라고 해. 너무 화가 나네. 대화해도 자신이 무엇을 잘못했는지조차 모르고 있어. 그냥 이혼할 거고 위자료도 못 줘!,Pro_07021,Pro_07021_00016,E10,S07_D02,
train-026755,train,청소년,여성,학업 및 진로,해당없음,분노,짜증내는,ANGRY,이렇게 힘들게 공부하느니 차라리 나가서 돈을 벌겠어. 공부가 체질에 맞지 않으니까 돈이나 벌까 봐. 공부를 잘 하는 선배에게 도움을 청해야겠어.,Pro_01744,Pro_01744_00034,E13,S02_D02,
train-021012,train,청소년,여성,학교폭력/따돌림,해당없음,분노,짜증내는,ANGRY,내가 도움을 요청했는데 친구들이 외면했어. 왜 다들 나를 외면하고 싫어하는 걸까. 너무 힘들어. 선생님은 도와주실까? 선생님도 외면하면 어쩌지.,Pro_01864,Pro_01864_00008,E13,S03_D02,
train-041470,train,노년,남성,대인관계,만성질환 무,당황,한심한,ANGRY,요즘 애들이 나를 회피하는 것 같아 마음이 많이 힘들어. 부모로서 내가 제대로 해 준게 없고 도리어 용돈까지 청해야 하는 처지이니 달갑지 않겠지. 어디 가서 그런 이야기 하기도 참 창피해서 선뜻 도움을 알아보기도 쉽지 않네.,Pro_09829,Pro_09829_00041,E58,S04_D02,
train-024182,train,노년,남성,대인관계,만성질환 유,분노,악의적인,ANGRY,음식점 주인에게 일부러 당일 날 일을 그만두겠다고 통보했어. 주인은 아픈 내게 아주 매몰차게 대했어. 주인은 계속 화만 내니 분노가 줄질 않아. 인력 시장에 나오는 사람들에게 그 음식점 주인이 나쁘다고 경고해줄 거야.,Pro_09726,Pro_09726_00016,E15,S04_D01,
train-031181,train,청소년,여성,학업 및 진로,해당없음,분노,구역질 나는,ANGRY,내가 오늘 급식을 먹는데 국에서 이상한 맛이 나서 먹다가 남겼어. 응. 좋아하는 국이었는데 먹고 진짜 구역질 할 뻔했어. 영양사 선생님께 살짝 말씀 드려야겠어.,Pro_01748,Pro_01748_00003,E17,S02_D02,
train-027156,train,노년,여성,재정,만성질환 무,분노,짜증내는,ANGRY,아들은 내 재산만 밝히는 나쁜 자식이야. 취업도 안 하면서 놀고먹으려고만 한다네. 아들이랑 대화를 통해 취업 생각이 있는지 물어봐야겠다.,Pro_12424,Pro_12424_00019,E13,S13_D02,
train-036611,train,청소년,여성,학업 및 진로,해당없음,상처,질투하는,ANGRY,그아이는 얼굴도 예쁜데다가 공부까지 잘해. 선생님들도 그아이만 예뻐하는 것 같아. 같은 잘못을 해도 나만 혼내. 너무한 거 아냐?,Pro_01772,Pro_01772_00002,E41,S02_D02,
train-019731,train,중년,남성,"대인관계(부부, 자녀)",해당없음,분노,방어적인,ANGRY,집에 오면 너무 화가 나. 가족들하고 항상 싸움만 해. 밖에서도 집에서도 시달리기엔 너무 괴로워. 나 혼자만의 시간이 좀 필요할 거 같아.,Pro_07025,Pro_07025_00036,E14,S07_D02,
train-043330,train,청년,남성,대인관계,해당없음,슬픔,환멸을 느끼는,ANGRY,부모님이 어제 나 때문에 또 싸우셔서 슬퍼. 내가 정신적으로 불안정하니까 두 분도 점점 예민해지시는 거 같아 죄송해. 두 분의 다정한 모습이 나를 안정시킨다는 걸 왜 몰라주실까?,Pro_03560,Pro_03560_00016,E29,S04_D02,
train-013399,train,청년,여성,"진로,취업,직장",해당없음,슬픔,환멸을 느끼는,ANGRY,나는 언제쯤 취직할 수 있을까? 삼 년 동안 노력했는데 달라진 게 없으니 자꾸 눈물이 나. 더 노력해야겠지.,Pro_05360,Pro_05360_00009,E29,S06_D02,
train-022817,train,중년,남성,"재정,은퇴,노후준비",해당없음,분노,노여워하는,ANGRY,내 차례에 계주가 곗돈을 들고 도망쳐서 매우 화가나. 자금 만들기로 계모임을 하고 있는데 계주가 친한 친구라 더 배신감이 들어. 다른 친구들에게 전화해서 하소연해 봐야겠어.,Pro_07149,Pro_07149_00002,E18,S08_D02,
train-029904,train,노년,남성,재정,만성질환 무,분노,노여워하는,ANGRY,왜 늙으면 돈 걱정을 벗어나지 못할까. 아픈 것도 없는데 계속 돈 걱정 만 해서 너무 화가 나.,Pro_10869,Pro_10869_00007,E18,S13_D02,
train-029483,train,노년,여성,대인관계,만성질환 유,분노,방어적인,ANGRY,직장동료와 친해지기 어려워. 동료인데 친해지는데 오래걸려. 사람들과 거리감이 들어.,Pro_11285,Pro_11285_00008,E14,S04_D01,
train-038807,train,노년,여성,"건강,죽음",만성질환 무,분노,노여워하는,ANGRY,나 정말 못난 나 자신을 견디기 힘들어. 내가 열심히 돈을 벌어두어서 조금만 형편이 여유로웠다면 병든 남편을 그렇게 허무하게 떠나보내지 않았을 텐데 너무 괴롭네. 응 내가 못나서 그래. 돈이 없는 내 탓이야. 하고 싶은 대로 마음껏 치료도 못 해주고. 괴로운 마음에 너무 힘이 드네.,Pro_12189,Pro_12189_00008,E18,S11_D02,
train-008624,train,청소년,여성,학업 및 진로,해당없음,상처,억울한,ANGRY,나 학급비 안 훔쳤어. 진짜 억울해. 오늘 게임기 사려고 몰래 모아둔 돈 가지고 나온 건데. 학급비를 찾던가 증거를 찾던가 해야겠지.,Pro_01778,Pro_01778_00004,E47,S02_D02,
train-015705,train,노년,여성,대인관계,만성질환 유,당황,한심한,ANGRY,김 씨는 고혈압이라 말로는 기름진 음식 안 먹는다고 하면서 노인정에서 전 먹을 때는 가장 많이 먹는데 한심해. 건강에 안 좋을 텐데 왜 그러는지 모르겠어. 뭐라고 조언해줘야 할 것 같은데. 김 씨는 자기 행동을 잘 의식하지 못하는 것 같은데 내가 자주 의식시켜줘야겠어.,Pro_11329,Pro_11329_00002,E58,S04_D01,
train-035995,train,청소년,여성,학업 및 진로,해당없음,슬픔,환멸을 느끼는,ANGRY,중학교때부터 대학교 진학을 위해 준비하는게 옳은 걸까? 사는게 매우 환멸이 나. 난 더 놀고싶고 하고싶은게 많은데 맨날 자리에 앉아서 공부하고 내신 준비 해야해.,Pro_01760,Pro_01760_00024,E29,S02_D02,
train-041348,train,노년,여성,대인관계,만성질환 무,분노,구역질 나는,ANGRY,친정 오빠하고 싸웠어. 내가 듣기 싫어하는 정치 얘기를 하지 말라는데도 자꾸 해서 참다 못해 소리를 지르며 한바탕 싸움이 났지. 그런 사람인 줄 알면서 참지 못한 내 자신이 한심해. 어차피 말도 안 통하는데.,Pro_11348,Pro_11348_00041,E17,S04_D02,
train-024489,train,노년,남성,대인관계,만성질환 무,분노,성가신,ANGRY,처음에는 좋았는데 며느리가 너무 전화를 많이 해서 이제는 귀찮아. 이렇게 시아버지를 챙기는 것은 좋은데 너무 많이 해. 며느리에게 전화를 좀 덜 해줬으면 좋겠다고 솔직하게 말해야겠어.,Pro_09790,Pro_09790_00034,E19,S04_D02,
train-033231,train,중년,여성,건강,해당없음,분노,툴툴대는,ANGRY,건강을 위해서 운동을 시작했는데 영 효과가 없는 거 같아! 허무해 요가를 하고 있어 온몸을 꼬면서 운동을 하는 것이 얼마나 힘든데 참고했음에도 불구하고 왜 이런 거지?,Pro_08822,Pro_08822_00005,E11,S09_D02,
train-011302,train,청년,여성,대인관계,해당없음,당황,한심한,ANGRY,항상 남 탓만 하는 친구가 너무 한심하게 느껴져. 돈 문제에 대해서도 부모 탓 직장 문제에 대해서도 상사 탓 항상 다른 사람만 탓하니 들어주기도 지치네.,Pro_05149,Pro_05149_00045,E58,S04_D02,
