sample_id,service_label_original,emotion_major,emotion_minor,tired_heuristic_reason,text
train-002173,SAD,상처,희생된,v2-primary-physical-fatigue,결국 일의 마무리를 위해 야근하고 특근하고 다 했어요. 저는 최선을 다했는데 이용당한 것 같은 기분이 들어요. 나만 열심히 노력한 것 같아요. 다른 사람 몫까지 떠맡은 기분이 들어요.
train-002239,ANXIOUS,불안,회의적인,v2-primary-physical-fatigue,나이가 들어서 그런지 만사가 귀찮고 기력이 없어. 인터넷 건강 정보를 챙겨 보려고 해도 서로 다른 말들이 너무 많아서 모르겠어. 직접 병원에 가는 게 가장 좋은 것 같아.
train-002317,ANGRY,분노,툴툴대는,v2-primary-physical-fatigue,직장생활 오 년째인데 아직도 신입사원 때랑 월급이 비슷해. 일한 만큼 보상도 없고 회사도 집이랑 멀어서 출퇴근도 힘들어. 큰 성과를 내면 연봉 협상에서 인상을 요구할 수 있어. 올해에는 분발해서 내년 연봉을 올려 받을 거야.
train-002319,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,직장이 너무 멀어서 하루에 출퇴근만 버스로 왕복 네 시간이 걸려. 출퇴근 때문에 스트레스가 이만저만이 아니야. 회사 가까운 곳으로 이사하고 싶지만 그럴 형편이 안돼. 회사 근처는 집값이 너무 비싸거든. 지하철을 타면 출퇴근에 걸리는 시간이 절반으로 줄어들 거야.
train-002350,SAD,상처,희생된,v2-primary-physical-fatigue,오늘 나 혼자 나머지 잔업을 위해서 야근했어. 다른 팀원들을 위해 희생한 기분이야. 원래 담당자가 급한 일이 생겨서 내가 맡아서 하게 됐지.
train-002402,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,최근 들어 몸이 아주 힘들고 체력이 달리네. 퇴근하고 오면 몸도 무겁고 아침에 일어나기도 힘들어. 조금씩 산책이라도 해야겠어.
train-002472,HAPPY,기쁨,느긋,v2-fatigue+support-context,모처럼 주말에 약속을 잡긴 했는데 너무 나가기 싫어. 오늘은 그냥 얘기하고 쉴까? 피곤하기도 하고 더 쉬고 싶기도 해.
train-002677,CALM,기쁨,편안한,v2-primary-physical-fatigue,오늘 정말 많이 바쁜 하루였어. 피곤하고 졸려. 바빴지만 막힘없이 술술 흘러가서 스트레스는 없어. 내일부턴 조금 쉬엄쉬엄해도 될 것 같아. 그래서 내일부터는 조금씩 휴식 시간을 가지려고.
train-002937,ANXIOUS,불안,걱정스러운,v2-primary-physical-fatigue,어제는 밤늦게까지 잠을 못 잤어. 이런저런 생각이 복잡해서 불면증이 생긴 것 같은데 어쩌지? 잠을 못 자니 일도 제대로 못 하겠어.
train-003240,SAD,슬픔,낙담한,v2-fatigue+support-context,오늘 새로 지시받은 일로 늦게 퇴근했어. 지치고 힘들어. 피곤한 게 문제가 아니라 그 일이 해결하기 너무 어려워. 모르는 것을 배워가며 하려니 너무 힘드네.
train-003253,SAD,슬픔,슬픔,v2-primary-physical-fatigue,발주 건에 문제가 생겨서 오늘도 야근하게 생겼어. 이런 내 삶이 너무 슬퍼. 내일 어머님 생신이라 일찍 내려가야 하는데 못갈지도 몰라. 가족 얼굴 보기도 힘들게 일하는 게 좋은 삶인지 서글퍼지네.
train-003417,SAD,상처,괴로워하는,v2-primary-physical-fatigue,나는 능력이 다른 사람보다 부족한 것 같아. 나는 잘난 게 뭘까? 자꾸 일할 때마다 남들보다 뒤처지는 것 같고 자신감이 없어져. 요새 체력이 떨어져서 그런지 집중력도 안 좋은 것 같아서 일도 더 잘 안되는 기분이야.
train-003819,HAPPY,기쁨,기쁨,v2-primary-physical-fatigue,이번 일이 잘 마무리되어서 속이 시원해. 응 야근도 하고 힘들었지만 일이 잘되어 아주 좋아.
train-003840,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,매일 야근이라 너무 피곤해. 일이 많으니 마음대로 퇴근도 못 해. 건강을 신경 쓸 틈이 없네.
train-003863,ANGRY,분노,짜증내는,v2-primary-physical-fatigue,와이프가 너무 게을러서 집안일을 너무 안 해. 저녁에 퇴근하고 오면 집안이 엉망이고 아무것도 안 하고 있어. 와이프에게 한 번 진지하게 이야기를 해보려고 해.
train-004211,SAD,분노,좌절한,v2-fatigue+support-context,즘 회사에서 컴퓨터로 하는 업무가 많아져서 힘들어. 컴퓨터를 잘 다루지 못해서 업무가 늦게 처리하니 퇴근도 늦어지고 피곤해.
train-004426,SAD,슬픔,염세적인,v2-fatigue+support-context,회사 다닌 지 삼십 년이 되어가는데 내가 처음 입사했을 때 했던 일을 하라고 하네. 이 나이에 신입이 하는 일들을 하려니 업무가 익숙하지가 않아. 게다가 일도 많아서 몸도 너무 피곤하고. 삼십 년 전에 했던 일을 이 나이에 하니 내가 지금껏 뭘 했나 싶고 그냥 떠나고만 싶네.
train-004455,ANGRY,분노,악의적인,v2-primary-physical-fatigue,평생 바르게 산 것 같은데 질환이 생기니 별생각이 다 들어. 주위 사람들을 위해 너무 희생하며 살았어. 내 몸이 아프니까 그 사람들이 밉고 나쁜 생각도 드네.
train-004543,SAD,슬픔,염세적인,v2-fatigue+support-context,매일 똑같은 일의 반복이라 느껴져. 흥미도 생기지 않고 앞으로 이 회사에서 비전이 있을 거라 생각되지 않아. 몇 년을 하니 정말 피곤해. 쉬고 싶다는 생각도 들고 조금 기분전환을 해보고 싶어. 나 혼자 캠핑을 해보고 싶다고 생각했어.
train-004561,SAD,상처,버려진,v2-primary-physical-fatigue,열심히 일했는데 회사에서 해고당했어. 세상에서 버려진 느낌이야. 항상 야근 때문에 여행을 못 갔어. 이번 기회에 여행을 떠나볼 거야.
train-004659,HAPPY,기쁨,만족스러운,v2-primary-physical-fatigue,이번에 이직한 회사의 복리후생 제도가 너무 좋아서 마음에 들어. 탄력적 근무제가 가장 마음에 들어. 내 맘대로 출퇴근을 조정하니까. 퇴근 이후 저녁 시간이 너무 기대돼.
train-005008,SAD,슬픔,후회되는,v2-fatigue+support-context,요즘 왜 이렇게 피곤한지 모르겠어. 퇴근해서 집에 오면 저녁 먹기가 무섭게 바로 곯아떨어지지. 지금이라도 운동을 꾸준히 하면 괜찮아질까?
train-005151,SAD,당황,외로운,v2-primary-physical-fatigue,직장 생활은 매번 같은 패턴이라 야근이 너무 많아. 업무적인 스트레스는 그다지 없지만 외로워.
train-005296,ANXIOUS,불안,조심스러운,v2-primary-physical-fatigue,요즘 일 때문에 너무 많은 스트레스가 있어요. 불면증에 시달려요. 아침과 저녁에 가벼운 운동을 한번 해볼게요.
train-005405,ANXIOUS,불안,당혹스러운,v2-primary-physical-fatigue,며칠 동안 연달아서 야근하고 그랬더니 너무 피곤해. 며칠 야근했다고 오늘은 코피가 나고 현기증에 쓰러질 뻔하기까지 했어. 정말 황당하고 당혹스러웠어.
train-005494,HAPPY,기쁨,신이 난,v2-primary-physical-fatigue,요번에 회사에서 하는 새로운 프로젝트에 내가 낸 의견이 채택됐어. 오늘 팀장님께 칭찬까지 받아서 아주 기분이 좋아. 신입 사원이 좋은 의견을 냈다면서 팀원들 앞에서 칭찬해주셔서 너무 기분이 좋아. 내가 생각했던 의견대로 진행하는 거라서 야근을 하더라도 신나게 할 수 있을 거 같아.
train-005661,SAD,당황,외로운,v2-primary-physical-fatigue,이직한 지 아직 일주일째라 친한 사람이 없어서 외로워. 퇴근 후에 운동하면서 생각을 하지 않으려 해. 그러면 정리도 되고 녹초가 되면 몸은 힘들어도 마음은 편해지거든.
train-005697,SAD,상처,괴로워하는,v2-primary-physical-fatigue,불면증으로 힘들어. 잠을 잘 수 없어 너무 괴로워. 온종일 어지러운 상태야. 한시간이라도 푹 잤으면 좋겠어.
train-006048,ANXIOUS,불안,조심스러운,v2-primary-physical-fatigue,힘들게 취업하였는데 업무가 많다 보니 야근을 자주 하게 되어 몸과 마음이 너무 힘들어. 신입사원이다 보니 투정으로 비칠까 봐 먼저 이야기를 꺼내기가 조심스러워. 난 힘든데 같이 입사한 동기는 힘든 내색을 안 해서 더 조심스러워져.
train-006173,SAD,슬픔,낙담한,v2-fatigue+support-context,회사 정기 검진에서 간에 이상이 생겼다는 소견이 나왔어. 어찌할 바를 모르겠네. 너무 빨리 피곤해져서. 의사가 심각한 건 아니라는데 요즘 술을 너무 많이 마신 게 마음에 걸리네. 술을 줄이고 퇴근하면 가벼운 운동을 시작하려고 초기일 때 관리하는 게 좋을 것 같아.
train-006393,ANXIOUS,불안,회의적인,v2-primary-physical-fatigue,요즘 들어 이 회사에 계속 다녀야 하나 생각이 들어. 응. 나의 경력에 큰 도움이 되지 않고 야근이 너무 많아. 아직 잘 모르겠어. 이직해야 할까?
train-006517,HAPPY,기쁨,만족스러운,v2-primary-physical-fatigue,요즘 직장에서 일이 많아서 자주 야근을 해. 영업이 잘되다 보니 처리해야 할 일들이 많아서 그래. 돈 많이 버느라 바쁜 거니까 이런 경우라면 매일매일 야근하라면 할 수 있겠어.
train-006568,SAD,슬픔,후회되는,v2-fatigue+support-context,요즘 부쩍 몸이 피곤해. 미리 운동해 둘 걸 그랬어.
train-006577,ANGRY,분노,툴툴대는,v2-fatigue+support-context,나이를 먹는 게 참으로 서럽네. 예전과 달리 피로 해소도 늦고 잠을 자도 피곤하고 몸이 너무 힘들어. 건강식품 및 영양제를 먹는데도 건강이 안 좋아지는 게 계속 느껴져.
train-006978,SAD,상처,버려진,v2-primary-physical-fatigue,며칠 전에 갑자기 가슴을 쥐어짜는 듯한 통증이 있어서 갑자기 겁이 났어. 부서 이동을 했는데 그동안 맡았던 업무랑은 전혀 다른 생소한 업무라서 매일 혼자서 야근해. 텅 빈 사무실에 혼자서 업무를 보다 보면 뭔가 혼자 버려진 듯한 느낌마저 들어.
train-007043,CALM,기쁨,편안한,v2-primary-physical-fatigue,회사 근처로 집을 옮겼더니 출퇴근 시간도 짧아지고 덕분에 너무 편해졌어. 덕분에 업무 효율도 좋아져서 요즘 회사에서도 다들 얼굴이 전보다 더 밝아졌다고 하네.
train-007087,ANXIOUS,불안,회의적인,v2-primary-physical-fatigue,건강하게 나이 드는 게 생각보다 쉬운 일이 아닌 것 같아. 아프지는 않은데 기력이 없고 피로가 쉽게 와. 나이 드는 게 느껴져 좀 울적해. 응. 이렇다 할 문제는 없다고 해.
train-007203,SAD,상처,희생된,v2-primary-physical-fatigue,회사에서 작업 중에 다쳐서 손에 깁스했어. 손목에 금이 가서 한 달 동안은 손을 쓰면 안 된다고 해. 야근 작업을 하다가 다치게 되었어.
train-007333,SAD,슬픔,슬픔,v2-primary-physical-fatigue,일이 너무 많아서 힘들어. 야근이 없다면 에너지가 충전될 텐데. 너무 힘들 땐 동료에게 야근을 대신해달라고 부탁해볼래.
train-007361,ANGRY,분노,짜증내는,v2-primary-physical-fatigue,나 임신했는데 지하철에서 사람들이 임산부 자리를 양보하지 않아. 출퇴근 시간에 사람이 많은데 서서 가야 할 때 너무 힘들어.
train-007460,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,출근한 지 얼마 안 됐는데 벌써 집에 가고 싶어. 어제도 야근했는데 지금 두 시간 자고 정상 출근하고 있거든. 배려 없는 회사 때문에 스트레스받아. 나도 워라밸 있는 회사로 이직할까 봐.
train-007581,SAD,슬픔,우울한,v2-primary-physical-fatigue,몸이 아프고 너무 힘들어. 허리하고 다리가 아파서 걸어 다닐 수가 없어. 물리치료 받았는데 효과도 없고 어이없네. 나에게 도움을 줘서 고마워.
train-007750,ANGRY,분노,툴툴대는,v2-primary-physical-fatigue,몸이 아프니 일하면서 자꾸 툴툴대며 일을 하게 되네. 일하느라 챙길 시간도 없어. 약 챙겨 먹는 날짜만 달력에 표시해두고 살아. 그냥 시간이 가는구나 싶지. 이렇게 힘들어서 툴툴거리며 일하는 건 처음이야.
train-007854,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,최근 한 달 계속 야근을 해서 몸이 천근처럼 무거워. 내년도 사업 계획을 짜느라 정신이 없었어. 스트레스도 엄청나.
train-007895,SAD,당황,고립된,v2-primary-physical-fatigue,몸이 아프고 형편도 넉넉하지 않으니 누구도 만나고 싶지 않아. 건강도 건강인데 돈 없고 능력 없으면 무시당하는 세상이니 갑갑하다. 그냥 그렇게 느껴져. 나름대로 소신 있는 인생을 살고 있지만 부를 축적하지 못한 결과는 외로움뿐이네.
train-007971,ANGRY,슬픔,환멸을 느끼는,v2-primary-physical-fatigue,산다는 것이 허무해. 몸이 아프니 마음도 아프고 그럴수록 주변에 대한 흥미도 사라져 가네.
train-008088,ANXIOUS,당황,혼란스러운,v2-primary-physical-fatigue,연애 후 결혼과 출산으로 정신이 없어. 그 사람은 집안도 좋고 정말 잘 생겼어. 난 그렇지 못하거든. 내가 잠들기 전에 더 잘 잘 수 있도록 네가 편안한 노래를 좀 틀어줄래?
train-008125,ANGRY,분노,성가신,v2-primary-physical-fatigue,직장에서 자꾸만 일하는데 동기가 수다를 떨자고 해서 성가셔. 업무시간에 항상 집중을 못 해서 쉬운 업무임에도 불구하고 매번 야근하더라고. 잡담할 시간 줄이면 나아질 거라고 말해주고 싶어.
train-008226,ANGRY,분노,툴툴대는,v2-primary-physical-fatigue,신입인데 요즘 회사에서 며칠째 야근을 시켜. 잦은 야근에 지쳤어. 신입이라고 무시하는 거야 뭐야. 응. 빨리 다른 회사로 이직 준비를 해야겠어.
train-008399,ANXIOUS,불안,회의적인,v2-primary-physical-fatigue,매일 야근하느라 내 시간이 너무 없는 것 같아. 이렇게까지 해야 되는 건지 모르겠어. 그래도 이번 달만 버티면 다음 달부터는 좀 나아질 거야.
train-008989,HAPPY,기쁨,신이 난,v2-primary-physical-fatigue,나 드디어 취업했어. 첫 직장인만큼 열심히 할 거야. 응 맞아. 오랫동안 준비해서 취업을 엄청 기다렸거든. 맞아. 야근도 외근도 마다하지 않고 열심히 일해야지.
train-009128,SAD,상처,괴로워하는,v2-primary-physical-fatigue,내가 바라던 회사가 아닌 것 같아서 괴로워. 일하는 직장이 내 적성에 맞지 않아서 그게 제일 괴로워. 너무 야근이 많아. 이직을 준비할까 생각해.
train-009382,SAD,상처,희생된,v2-primary-physical-fatigue,직장에서 나만 손해 보는 느낌이야. 매일 나만 야근하니까 너무 힘들어. 그래서 팀장님한테 하소연이라도 해야겠어.
train-009693,ANGRY,분노,노여워하는,v2-primary-physical-fatigue,나 요즘 잠을 못 자. 갱년기 때문인지 불면증이 온 거 같아. 계속 이러면 어쩌지? 병원에 가 볼까?
train-009827,ANGRY,슬픔,환멸을 느끼는,v2-fatigue+support-context,평생 운동 안 해도 괜찮다 생각했는데. 요즘 들어 같은 일을 해도 많이 피곤하고 힘든 게 체력이 부족한 것 같아.
train-009892,SAD,슬픔,비통한,v2-primary-physical-fatigue,야근도 많고 출장으로 잦아서 몸도 지치고 마음도 힘들어. 힘들고 지친 몸을 주말에는 휴식으로 풀고 싶은데 부인과 애들은 자꾸 외출하자고 하고. 피곤해.
train-010034,SAD,슬픔,비통한,v2-primary-physical-fatigue,정말 이 회사 계속 다니는 것이 맞나 싶어. 열심히 해도 별로 보람도 없고 누구도 알아주지 않아. 야근에 주말 출근하면서 준비한 기획안에 이번에도 내 이름은 빠지고 선배 이름이 들어갔어.
train-010112,SAD,상처,희생된,v2-primary-physical-fatigue,오늘도 야근했어. 신입이 일 처리가 늦어서 하게 됐지. 신입 때문에 자주 야근하게 돼서 너무 힘들어.
train-010184,SAD,분노,좌절한,v2-primary-physical-fatigue,이번 과장 승진에서 떨어졌어. 많이 노력했는데도 안 되니까 좌절감이 들어. 다양한 프로젝트를 도맡아서 했고 야근도 거의 매일 했어. 그런데도 승진이 안 돼.
train-010345,ANXIOUS,당황,부끄러운,v2-primary-physical-fatigue,오늘 거래처에 입금하기로 한 걸 깜빡 잊었지 뭐야. 감사 때문에 매일 야근하다 보니 날짜를 착각한 것 같아. 얼마나 창피하던지.
train-010555,ANXIOUS,불안,두려운,v2-primary-physical-fatigue,요즘 야근이 많아서 피곤해. 식사를 제대로 하고 운동도 틈틈이 하고 있어.
train-010776,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,내일 아침에 보고서 결재받아야 하는데 아직 다 못했어. 오늘도 야근해야 할 것 같아. 응. 다들 일찍 퇴근하는데 나만 혼자 매일 야근이네.
train-010812,ANGRY,분노,구역질 나는,v2-primary-physical-fatigue,어제도 야근했더니 너무 힘들어. 요새 계속 야근이야. 일하다 보면 너무 힘들어서 토할 것 같은 기분이 들어. 휴식이 필요해.
train-010938,SAD,상처,희생된,v2-primary-physical-fatigue,팀원들은 일이 있건 없건 매일 칼퇴근이야. 위에서는 압박을 주니 나 혼자 매일 야근하느라 너무 힘들어. 팀끼리 경쟁하는 입장이라 나 어렵다고 얘기하기는 쉽지가 않네.
train-011026,SAD,슬픔,마비된,v2-primary-physical-fatigue,너무 힘들어. 요즘 업무가 너무 많아 몸이 녹초가 됐어.
train-011189,CALM,기쁨,편안한,v2-primary-physical-fatigue,드디어 내일 회사 마지막 출근이야. 마음이 너무 편안해. 지금 회사는 야근도 너무 많고 나 혼자만 일하는 것 같아.
train-011193,ANGRY,분노,구역질 나는,v2-primary-physical-fatigue,이번 달에 이틀 빼고 야근했어. 정말 힘들어. 정말 힘들어. 쉴 겨를도 없이 출근 퇴근만 하니까 너무 삭막해. 응. 그럴 것 같아. 다음 달에도 일이 많아.
train-011197,ANXIOUS,불안,회의적인,v2-fatigue+support-context,요즘 너무 힘들어. 업무량이 많아서 늦게까지 일하느라 몸이 피곤해.
train-011245,ANXIOUS,당황,부끄러운,v2-fatigue+support-context,중년이 되니까 이제 건강에 이상 신호가 오는 듯해. 특별하게 이상이 있거나 하는 건 아닌데 예전 같지 않게 아침에 너무 피곤해. 운동하고 밥도 조절해서 먹어야 하는데 바쁘다는 핑계로 안 하는 게 문제인 거지.
train-011308,ANXIOUS,불안,걱정스러운,v2-primary-physical-fatigue,주변에 건강이 나빠져서 치료받는 사람들을 보면 나도 건강할지 자신감이 없어. 건강을 유지하려면 시간적인 여유가 있어야 할 텐데 업무도 많고 출퇴근 시간도 길어서 시간 내기가 쉽지 않아. 일하다 중간에 운동을 해야겠다 싶다가도 잊어버리거든. 아무래도 스마트밴드라도 사서 틈틈이 운동 해야겠어.
train-011368,ANXIOUS,당황,혼란스러운,v2-primary-physical-fatigue,추석을 앞두고 지난여름에 못 만났던 동창들 모임이 갑자기 취소되었다네. 지난봄에도 취소하면서 찬 바람 불면 보자고 했는데 또 취소되어서 당황스럽네.
train-011592,ANXIOUS,불안,걱정스러운,v2-primary-physical-fatigue,요즘 코로나 때문에 운동을 못 해서 큰일이야. 원래 헬스장에서 근육운동 유산소운동을 하는데 코로나 때문에 하나도 못 하고 있어. 출퇴근을 자전거로 하려다 회사에 샤워할 데도 없고 사람들이 뭐라 할까 봐 결국 못했네.
train-011603,ANXIOUS,불안,초조한,v2-primary-physical-fatigue,모아놓은 돈도 없고 노후 대비도 안 되어 있는데 해고당할 것 같아. 하고 많은 날 야근하고 죽도록 고생했는데 이게 무슨 일인지. 당황스러워.
train-011630,SAD,상처,괴로워하는,v2-primary-physical-fatigue,너무 힘들다. 편해지기는커녕 갈수록 더 힘들어져. 직장 업무가 나날이 벅차. 게다가 사람들은 야근하는 사람 앞에서 속 모르는 소리만 하고.
train-011815,SAD,슬픔,슬픔,v2-primary-physical-fatigue,업무가 많아서 쓰러질 것 같아. 집에 오면 녹초가 돼서 아무것도 할 수 없을 정도야. 남들은 일을 잘해서 취미생활도 한다는데 나는 일을 너무 못해. 무능력한 사람 같아. 똑같은 일을 제대로 처리 못 하니 무능력한 거지.
train-011895,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,일이 많아 매일 야근이라 너무 스트레스야. 집에서 푹 자 본지도 오래 됐어. 이렇게 일만 하다가 죽는 건 아닐까? 그런 방법이 있다면 진작 해봤겠지.
train-012526,SAD,상처,괴로워하는,v2-primary-physical-fatigue,오늘 팀장님께 한 시간 넘게 구박 당했어. 보고서에 통계 자료가 틀렸다고 무능하기 짝이 없다며 뭐라 하시더라고. 야근을 해서라도 자료 조사하는데 시간을 더 들여야겠어.
train-012623,ANXIOUS,불안,스트레스 받는,v2-primary-physical-fatigue,요즘 회사에서 자주 야근해서 하루하루가 고단해. 하루 종일 일만하고 집에 가서 잘 쉬지도 못하니까 힘들어. 일과 시간에 집중해서 퇴근시간에 맞춰 해야 할 일을 끝마쳐야겠어.
train-012631,SAD,상처,괴로워하는,v2-primary-physical-fatigue,평일 내내 힘든 몸을 이끌고 회사에 출근하는 것이 죽겠어. 충분한 잠을 못 자서 그런지 아침에 일어나기도 힘들고 몸이 축 쳐지는 기분이야. 퇴근해서 잠자리에 일찍 들어야겠어. 수면시간을 늘려 회복해야지.
train-012881,SAD,슬픔,낙담한,v2-fatigue+support-context,시험이 끝난 날이면 하루는 놀아도 괜찮다고 하실 줄 알았는데 또 공부하러 가라고 하셨어. 하루 정도는 쉬어도 되지 않을까 했는데 바로 공부 하라니 뭔가 지치네. 부모님께 다시 잘 말씀드려봐야겠어.
train-013075,SAD,당황,외로운,v2-primary-physical-fatigue,야근 때문에 회사에 혼자 남아있었는데 너무 외로웠어. 앞으로도 혼자 야근을 많이 해야 될 것 같은데. 노래를 들으면서 하면 좀 덜 쓸쓸할 것 같기도 해.
train-013256,CALM,기쁨,안도,v2-primary-physical-fatigue,나는 정말 운이 좋아. 세상에서 제일 좋은 직장 선배를 만났거든. 오늘 집안에 중요한 일이 있었는데 선배가 그 사실을 알고 야근을 하는 나를 보내줬어. 고마운 일이 있을 때마다 매번 밥을 사고 있어.
train-013257,CALM,기쁨,안도,v2-primary-physical-fatigue,회사에서 야근을 해야 하는데 팀원들이 일을 거들어줘서 빨리 끝낼 수 있었어. 일이 많아서 스트레스받았는데 팀원들이 도와줘서 너무 기뻐. 나도 무언가 해주고 싶어. 밥 사는 건 너무 진부하고 팀원들에게 가벼운 선물을 하나씩 사줄 거야.
train-013403,ANGRY,슬픔,환멸을 느끼는,v2-primary-physical-fatigue,야근 때문에 너무 힘들어. 입사 후 제때 퇴근해본 적이 없어. 아무래도 회사를 그만둬야 할 것 같아.
train-013854,SAD,상처,고립된,v2-primary-physical-fatigue,요즘 매일 야근을 하다보니까 회사에 정말 갇혀있는 느낌이야. 응. 그냥 회사에서 살라는 건지 이거는 그냥 노예랑 다름없어. 이만큼 야근 했으니 수당도 전보다 더 많이 들어오길 기도하고 있어.
train-014422,ANXIOUS,분노,안달하는,v2-primary-physical-fatigue,오늘 팀 분위기가 안 좋았어. 타 부서에서 지원해주기로 한 평가 자료가 늦어져 프로젝트 진행이 지연되고 있거든. 독촉했더니 오늘 남아서 야근한다고 하더라고.
train-014717,HAPPY,기쁨,신이 난,v2-primary-physical-fatigue,이번 주에 사장님이 휴가를 가셔서 회사 분위기가 편안하고 좋아. 그래서 이번 주는 다들 야근을 안 하려는데 양심에 찔려서 고민이야. 최대한 야근을 줄이는 방향으로 업무를 해야겠어.
train-014808,ANXIOUS,불안,초조한,v2-primary-physical-fatigue,엠알아이를 찍고 며칠 간 건강검진 결과를 기다렸는데 하루가 천금 같았어. 매번 검사를 기다릴 때마다 잠을 못 자는 것 같아. 따뜻한 물에 목욕이라도 하면서 긴장을 풀어야겠어.
train-014821,HAPPY,기쁨,흥분,v2-primary-physical-fatigue,해냈어! 드디어 우리 부서가 에이 팀을 이겼어! 매일 야근한 보람이 있었어. 엄청 힘들었는데. 엄청 기뻐. 오늘 저녁은 축하주라도 마셔야겠어!
train-014936,HAPPY,기쁨,흥분,v2-primary-physical-fatigue,나 내일 결혼해. 너무 기쁘고 떨려. 내일이라 그런지 잠이 오질 않아. 명상을 하면서 잠이 오게 해야겠어.
train-015008,ANGRY,분노,악의적인,v2-primary-physical-fatigue,신입사원이라고 야근 수당도 안 주고 늦게까지 부려먹는 건 너무하지 않아? 늦게까지 일하는 건 괜찮은데 수당도 안 나와. 나만 신입이라고 안 주는 거래. 근거를 모아서 노동청에 신고하는 게 좋겠어.
train-015772,SAD,상처,"가난한, 불우한",v2-primary-physical-fatigue,왕복 세 시간 거리를 출퇴근을 하니까 너무 힘들고 피곤해. 회사 근처에 집값이 너무 비싸니까 여기서 왕복하는데 잘못해서 버스라도 놓치면 바로 지각이야. 회사 출근 시간보다 한 시간 일찍 도착한다고 생각하고 출근해야겠어.
train-015798,ANXIOUS,당황,혼란스러운,v2-primary-physical-fatigue,지금 다니고 있는 회사에서 업무가 너무 많아서 계속 다니기가 힘들어. 하루 종일 과중한 업무량으로 야근에 시달리다 보니 가족들에게 집에서 화만 내게 돼. 우선순위대로 급한 업무부터 처리해서 야근을 줄여 나가야겠어.
train-015803,ANXIOUS,당황,혼란스러운,v2-primary-physical-fatigue,업무가 너무 많은데 오늘 컨디션이 안 좋아서 내일로 미루고 싶어. 최근에 계속 야근하면서 체력이 많이 떨어졌어. 오늘은 퇴근하고 내일 일찍 나오는 게 효율적일 거 같아.
