sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,relabel_reason
train-023750,train,중년,여성,건강,해당없음,기쁨,감사하는,HAPPY,드디어 항암치료가 끝났어. 오지 않을 것만 같은 날이었는데 감격스러워. 날 응원해준 가족들 덕분이야. 가족들의 격려가 없었다면 오늘 이 자리에 없었을 테니 이젠 내가 보답해줄 거야. 나도 가족들을 항상 응원하면서 건강할 수 있도록 도울 거야.,Pro_08872,Pro_08872_00009,E61,S09_D02,
train-015617,train,노년,여성,"건강,죽음",만성질환 무,불안,스트레스 받는,ANXIOUS,나이가 많아지니 주변사람들이 많이 떠나네. 그래서 불안한 마음이 들고 생각이 많아지네. 주변사람들도 떠나는데 나도 언젠가 죽을거라는 생각에 불안해. 걱정하는 대신에 좀 더 건강해질 수 있도록 운동을 해야겠어.,Pro_12203,Pro_12203_00006,E32,S11_D02,
train-030281,train,청소년,여성,가족관계,해당없음,분노,악의적인,ANGRY,아무리 아빠지만 미워 죽겠어. 내 미니스커트를 불태웠어.,Pro_01626,Pro_01626_00012,E15,S01_D02,
train-011997,train,청년,남성,대인관계,해당없음,기쁨,안도,CALM,결혼식에 아무도 안 올까 봐 걱정했는데 생각보다 많이 와주셔서 잘 끝났어. 맞아. 요새 같은 때 와주신 것만도 정말 감사하더라고. 응. 답례품과 함께 편지를 드리려고.,Pro_03598,Pro_03598_00001,E67,S04_D02,
train-017434,train,중년,남성,"대인관계(부부, 자녀)",해당없음,상처,질투하는,ANGRY,자식들이 아내 건강만 중요하게 생각해주는 것 같아 질투나. 자식들이 아내에게 하는 것의 반만이라도 내게 해주면 좋겠어. 자식들에게 솔직히 말해봐야겠어. 나도 잘 챙겨줬으면 좋겠다고.,Pro_07052,Pro_07052_00026,E41,S07_D02,
train-018610,train,노년,여성,"건강,죽음",만성질환 무,분노,분노,ANGRY,오늘 다단계 업자가 글쎄 내가 노인이라고 이용해먹으려고 하려는 걸 화가 나서 내쫓았어. 정자에서 쉬고 있는데 어르신 하면서 다가와서는 뭔 단체에 가입하라고 강요를 하는 거야. 기가 차서 정말! 내일 노인정에 가서 다들 조심하라고 욕 좀 실컷 해야겠어.,Pro_12181,Pro_12181_00008,E10,S11_D02,
train-025599,train,노년,여성,재정,만성질환 유,기쁨,기쁨,HAPPY,한 달에 한 번씩 정기검사를 받으러 병원에 가는데 좋은 제도가 생겨서 기뻐. 비용이 만만치 않아서 아픈 것도 억울한데 속상했거든. 치료만 열심히 받으면 될 것 같아.,Pro_12411,Pro_12411_00012,E60,S13_D01,
train-003935,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,신뢰하는,CALM,내가 만나는 사람은 거짓말도 하지 않고 약속도 잘 지켜서 너무 믿음직스러워. 나도 그렇게 생각해. 나도 그 사람에게 믿음직스러운 사람이 되도록 노력해야지. 서로 사랑하는 모습 많이 보여주도록 할게. 고마워.,Pro_05273,Pro_05273_00016,E62,S05_D02,
train-021464,train,청소년,여성,가족관계,해당없음,불안,혼란스러운,ANXIOUS,아빠가 가끔 어려운 이야기를 하실 때 이해 안 될 때가 있어서 혼란스러워. 어떤 때는 내가 공부를 더 해야 하나 라는 생각도 들었어. 아빠한테 내가 이해하기 쉽게 이야기 해줬으면 좋겠다고 말을 할 거야.,Pro_01645,Pro_01645_00011,E34,S01_D02,
train-042953,train,중년,남성,"대인관계(부부, 자녀)",해당없음,불안,초조한,ANXIOUS,직장 스트레스 때문에 요즘 집에만 가면 가족들에게 화를 내고 짜증을 내. 집에 가서 오늘은 그러지 말자고 다짐하는데도 맘대로 되지 않아. 가족들이 많이 힘들겠지? 내 스트레스를 풀 방법을 찾아야겠어.,Pro_07050,Pro_07050_00036,E39,S07_D02,
train-014214,train,청년,여성,대인관계,해당없음,불안,혼란스러운,ANXIOUS,엄마가 최근에 갱년기라서 그런지 감정기복이 심해서 어떻게 할지 혼란스러워. 갱년기에 좋은 약이라도 사드려야 하나 걱정이야. 엄마가 빨리 예전의 모습으로 돌아오면 좋겠다 싶어서 병원을 가볼 예정이야.,Pro_05125,Pro_05125_00033,E34,S04_D02,
train-027704,train,노년,남성,재정,만성질환 유,기쁨,안도,CALM,당뇨병이 심해져서 요즘 건강이 너무 걱정스러워. 응 합병증 때문에 힘들어. 그리고 다음엔 아플 일이 없도록 운동을 시작하려고 해.,Pro_10858,Pro_10858_00004,E67,S13_D01,
train-018790,train,노년,남성,"건강,죽음",만성질환 유,당황,혐오스러운,ANXIOUS,저번에 의사가 간암이라고 진단했었는데 오늘 오진으로 밝혀져서 너무 화가 나. 간암 진단받고 그동안 피 말리는 기분이었는데 지금 얼마나 화가 나는지 몰라. 병원에 연락하여 손해배상을 요구할래.,Pro_10608,Pro_10608_00012,E57,S11_D01,
train-007649,train,중년,여성,건강,해당없음,기쁨,기쁨,HAPPY,요즘 너무 기분이 좋아. 건강해지려고 등산하러 다녔더니 몸이 좀 가벼워진 느낌이야.,Pro_08871,Pro_08871_00019,E60,S09_D02,
train-004962,train,중년,남성,"대인관계(부부, 자녀)",해당없음,당황,부끄러운,ANXIOUS,요즘 매일 술자리가 이어지는 바람에 귀가 시간이 점점 늦어져. 아침마다 후회하면서 말이야. 아내와 아이들 보기에도 좀 부끄럽다는 생각이 들어. 좋은 가장이 아닌 거 같아서 말이야.,Pro_07067,Pro_07067_00026,E56,S07_D02,
train-037166,train,청소년,여성,학교폭력/따돌림,해당없음,분노,성가신,ANGRY,요즘 반 친구들이 계속 나를 귀찮게 해. 매일 스터디만 하니까 소외시키는 것인가 싶은데 방해 안 했으면 좋겠어.,Pro_01870,Pro_01870_00015,E19,S03_D02,
train-011376,train,중년,남성,"대인관계(부부, 자녀)",해당없음,기쁨,편안한,CALM,아들 녀석이 내 구두를 닦아놓았더라고. 안 그래도 아들에게 용돈을 줄까 생각 중이야. 무선이어폰을 사려고 알아보는 중인데 돈이 조금 모자란 것 같더라고.,Pro_07074,Pro_07074_00012,E63,S07_D02,
train-014621,train,중년,남성,"직장, 업무 스트레스",해당없음,당황,부끄러운,ANXIOUS,신입 사원이 할 만한 가장 초보적인 실수를 내가 해서 거래처와 마찰이 생겼어. 다시 거래처한테 어떻게 말을 전달해야 될지 모르겠어. 더 좋은 조건으로 거래처와 말을 해야 될 것 같아.,Pro_07427,Pro_07427_00009,E56,S10_D02,
train-023285,train,중년,여성,"대인관계(부부, 자녀)",해당없음,슬픔,실망한,SAD,우리 아들이 피아노 좀 잘 쳤으면 좋겠는데 재능이 없는 거 같아 속상해. 아들이 피아노 잘 치면 뒷받침 잘해주고 싶었는데 뜻대로 잘 안되네. 아들이랑 이야기해 보고 계속 피아노를 할지 결정해야겠어.,Pro_08592,Pro_08592_00040,E21,S07_D02,
train-025929,train,노년,여성,재정,만성질환 무,불안,혼란스러운,ANXIOUS,아들이 달라는 돈을 주어야 될지 모르겠어. 돈을 주면 아들이 엉뚱한 곳에 쓰는건 아닐까 걱정이야. 아들에게 돈이 왜 필요한지 물어보고 빌려줘야겠어.,Pro_12445,Pro_12445_00020,E34,S13_D02,
train-048884,train,노년,여성,대인관계,만성질환 무,당황,고립된,SAD,내 우울증 때문에 주변 사람들이 지쳐 보여. 내 곁에 아무도 남지 않았어. 남들이 정신병원에 가보라고 했을 때 진작 가볼 걸 그랬어. 주변 사람들에게 너무 미안해. 이미 늦은 것 같아. 벌을 받는다고 생각하고 그냥 살아야지.,Pro_11382,Pro_11382_00018,E51,S04_D02,
train-031545,train,청소년,남성,학업 및 진로,해당없음,당황,혼란스러운,ANXIOUS,요새 너무 혼란스러워. 진로를 정하기 힘들어.,Pro_00230,Pro_00230_00009,E59,S02_D02,
train-045475,train,노년,여성,재정,만성질환 무,분노,악의적인,ANGRY,여태껏 남편이 벌어다 주는 돈을 살았는데 앞으로 어떻게 하지? 남편 사업이 망해서 앞으로 생계가 걱정이야. 정말 죽고 싶어. 염치없지만 자식들한테 신세를 져야 할 거 같아.,Pro_12426,Pro_12426_00023,E15,S13_D02,
train-028054,train,청소년,여성,학교폭력/따돌림,해당없음,당황,혐오스러운,ANXIOUS,반에서 따돌림당하는 데 선생님이 도와준다더니 걔네 부모님한테 돈 받고는 내 잘못이래 역겨워. 돈 때문에 피해자인 나에게 문제가 있다고 하는 데 정말 당황스럽고 기분이 나빠. 중학교 때 친구들을 만나서 얘기를 하고 풀어야겠어.,Pro_01908,Pro_01908_00012,E57,S03_D02,
train-044123,train,청년,여성,대인관계,해당없음,슬픔,마비된,SAD,돈 못 벌어 힘들다고 하는데 위로해주는 사람이 아무도 없다. 진짜 슬프다. 돈을 못 벌고 싶어서 못 버는 것도 아닌데 정말 힘들고 지친다. 주위에선 위로도 안 하고. 돈을 조금 더 벌어서 문제를 해결하는 수밖에 없겠지.,Pro_05116,Pro_05116_00023,E25,S04_D02,
train-043850,train,청소년,남성,가족관계,해당없음,당황,혼란스러운,ANXIOUS,이혼한 아버지가 힘들어하시는데 내가 정신질환도 있어서 죄책감이 들어. 아버지에게 도움이 못 돼서 너무 죄송해. 나도 잘 모르겠어. 그저 힘들기만 해.,Pro_00110,Pro_00110_00055,E59,S01_D02,
train-005876,train,중년,남성,건강,해당없음,기쁨,안도,CALM,요즘 다리도 쑤시고 몸도 으슬으슬하고 해서 늙어서 건강이 쇠퇴한 건가? 하는 생각이 들어서 걱정이 되더라고. 근데 오늘 병원에 갔더니 그냥 몸살감기래. 병원 갔다 와서 아내에게 단순 몸살감기라고 말하니까 아내도 안도하는 눈치였어.,Pro_07318,Pro_07318_00018,E67,S09_D02,
train-031098,train,노년,남성,대인관계,만성질환 유,당황,열등감,SAD,내 친구들은 다 직장이 있는데 나만 구하지 못해서 열등감이 들어. 왜 그럴까 너무 속상하고 자꾸 친구가 부러워져. 주변 사람들에게 일자리가 없냐고 물어보고 적극적으로 일자리를 찾아야겠어!,Pro_09765,Pro_09765_00005,E54,S04_D01,
train-025323,train,노년,여성,대인관계,만성질환 유,당황,남의 시선을 의식하는,ANXIOUS,요즘 코로나 때문에 잔기침만 해도 눈치가 보여서 조심 중이야. 원래 천식이 있어서 기침을 평상시에도 하는데 코로나까지 겹치니 오해 안 받으려고 참고 있어. 따뜻한 물을 항상 보온병에 가지고 다니면서 마시고 있어. 약도 물론 먹고 있고.,Pro_11323,Pro_11323_00008,E52,S04_D01,
train-004081,train,청년,남성,"연애,결혼,출산",해당없음,기쁨,자신하는,HAPPY,동아리 여자 후배가 이성적으로 마음에 들어. 우리는 성격도 잘 맞는 것 같아. 그 여자 후배도 나를 마음에 두고 있는 것 같아. 그래서 이번 주말에 고백할까 해.,Pro_03720,Pro_03720_00015,E69,S05_D02,
train-040067,train,노년,남성,대인관계,만성질환 무,슬픔,우울한,SAD,오늘 하루는 슬펐어. 내가 나이가 많으니 젊은 사람들한테 소외당하는 기분이야. 나이가 많으니 불편하다고 생각하는 것 같아. 너무 슬퍼서 울고 싶어.,Pro_09795,Pro_09795_00023,E24,S04_D02,
train-037833,train,청소년,여성,학교폭력/따돌림,해당없음,분노,성가신,ANGRY,자꾸 괴롭히겠다고 따라오는 거 성가시고 귀찮아. 응. 내일도 그럴텐데 어떻게 피해다닐지 생각을 해야겠어.,Pro_01870,Pro_01870_00016,E19,S03_D02,
train-000893,train,중년,남성,"재정,은퇴,노후준비",해당없음,기쁨,만족스러운,HAPPY,내가 가입한 보험사가 노후 상담까지 따로 도와주겠다고 해서 기뻐. 여기저기 알아보고 보험사를 선택한 보람이 있어. 재무구조와 평판 모두를 조회해 봤어.,Pro_07195,Pro_07195_00003,E64,S08_D02,
train-038387,train,노년,남성,"건강,죽음",만성질환 무,상처,괴로워하는,SAD,술을 끊어야 했는데 말이야. 보통 며칠에 한 번씩 마시지. 요즘 정신이 맑지가 않아. 있지만 내 의지가 부족했지. 근데 지금 몸이 안 좋으니까 이제야 후회막급이야.,Pro_10659,Pro_10659_00017,E48,S11_D02,
train-010985,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,편안한,CALM,남자 친구와 있으면 마음이 너무 편안해져. 모든 일을 함께 의논하고 이야기할 수 있어. 배울 점이 많은 사람이야.,Pro_05274,Pro_05274_00016,E63,S05_D02,
train-032341,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,흥분,HAPPY,오늘 프러포즈를 받았어. 드디어 결혼하게 되다니 꿈만 같아. 식사를 어떻게 했는지도 모르겠어. 심장이 쿵쾅대서 가만히 앉아있는 것도 힘드네. 나 지금도 완전히 흥분 모드야. 내가 결혼에 대해 환상이 좀 있거든. 앞으로 나 정말 행복해질 거야.,Pro_05276,Pro_05276_00032,E65,S05_D02,
train-018045,train,청소년,여성,가족관계,해당없음,기쁨,자신하는,HAPPY,언니가 요리사인데 언니에게 요리를 배워서 웬만한 요리는 자신 있어. 요리가 재미있어서 요리사인 언니에게 더 많이 배우고 싶어. 언니가 요리를 할 때 옆에서 지켜보고 영상을 찍어 돌려보면서 배우는 게 가장 좋은 방법인 것 같아.,Pro_01680,Pro_01680_00010,E69,S01_D02,
train-014131,train,청소년,여성,학교폭력/따돌림,해당없음,기쁨,감사하는,HAPPY,엄마가 학교에 찾아와서 내가 당한 폭행에 대해 선생님과 상담하고 학폭위를 열어서 해결할 수 있도록 힘써 주셨어. 그렇지. 정말 고민 이었는데. 엄마가 잘 해결해 주셔서 얼마나 마음이 놓이는지 몰라 그래. 엄마한테 내 고민도 기쁨도 많이 애기하는 편이야,Pro_01912,Pro_01912_00015,E61,S03_D02,
train-038258,train,노년,남성,대인관계,만성질환 무,불안,회의적인,ANXIOUS,친구들이 나하고 대화가 잘 안된다고 자꾸 나를 피하는거 같아. 너무 슬프네. 내가 정신질환이 있어서 대화나 여러가지 일들을 잘 못하니까 그런 거지. 무슨일이든 하기가 힘들어. 가족들하고 대부분 시간을 보내고 있는데 다른 친구들은 만나기 힘들어. 너무 무기력하고 살기 싫어.,Pro_09807,Pro_09807_00036,E36,S04_D02,
train-018521,train,중년,남성,건강,해당없음,상처,충격 받은,ANXIOUS,약이 듣지 않았는데 알고 보니 엉뚱한 약을 처방받고 있었어. 내 몸과 정신과 시간에 피해를 입었어. 다른 병원으로 옮겨보지 않았더라면 아무것도 모르고 계속 아팠겠지. 어떻게 그런 실수를 할 수가 있지. 약만 다시 제대로 처방받으면 완치할 수 있다고 했어. 천만다행이야.,Pro_07295,Pro_07295_00014,E44,S09_D02,SAD_TO_ANXIOUS_MINOR_V2
train-005882,train,청년,여성,"진로,취업,직장",해당없음,당황,고립된,SAD,요즘 주변 친구들 다 취업하고 나만 취업을 못 해서 나만 뒤떨어진 느낌이야. 나는 기업을 홍보하는 마케팅 업무를 제일 하고 싶어.,Pro_05382,Pro_05382_00023,E51,S06_D02,
train-020096,train,청소년,여성,학교폭력/따돌림,해당없음,당황,당황,ANXIOUS,학교에서 따돌림 당해서 괴로웠어. 근데 오늘은 나를 괴롭히지 않고 다른 친구를 괴롭히더라고. 괴롭힘을 안 당하니 살 것 같지만 다른 친구를 괴롭히는 주동자가 싫어. 선생님께 말해볼래.,Pro_01901,Pro_01901_00032,E50,S03_D02,
train-034077,train,청소년,남성,학업 및 진로,해당없음,분노,분노,ANGRY,진로를 아직 못 찾아서 고민 중인데 친구는 나보고 꿈이 없다고 놀리고 비아냥거려서 화가 나. 진로를 찾는 건 신중한 일인데 친구는 내 마음을 모르고 함부로 얘기해. 우선 직업체험 교실에서 다양한 경험을 하면서 찾아보고 있어.,Pro_00181,Pro_00181_00018,E10,S02_D02,
train-008385,train,청년,남성,대인관계,해당없음,불안,조심스러운,ANXIOUS,나이가 드니 사람 만나는 게 조심스러워. 대화하면서 실수를 할까 봐 조심스러운 것 같아. 응. 의도치 않게 상처를 주는 일이 생길 수 있잖아.,Pro_03569,Pro_03569_00005,E38,S04_D02,
train-020307,train,중년,여성,"직장, 업무 스트레스",해당없음,기쁨,흥분,HAPPY,신규사업부를 맡으라고 해서 짜증이 났는데 그 사업을 철수하기로 했대. 복잡했던 머리가 너무 가벼워진 것처럼 너무 흥분되고 기뻐. 오늘 이 기쁜 마음을 누구와 보내야할까? 내 사랑하는 가족들과 보내는 게 가장 의미있을 것 같아.,Pro_08996,Pro_08996_00009,E65,S10_D02,
train-050273,train,청년,여성,대인관계,해당없음,상처,억울한,ANGRY,대학 졸업한 지도 이 년이나 넘었는데 직장도 없이 부모님과 함께 사는 건 민폐인 것 같아. 독립해야 할 나이인데 정규직이 아니어서 월급이 너무 작아서 독립할 엄두가 안 나. 현실이 힘들어. 부모님께 솔직하게 말하고 조금 더 노력해서 제대로 취업할 테니 조금만 기다려달라고 해봐야겠어.,Pro_05138,Pro_05138_00022,E47,S04_D02,
train-033429,train,청년,남성,대인관계,해당없음,기쁨,신이 난,HAPPY,요즘 친구가 많아져서 신난다. 내일도 친구랑 노래방 가기로 했어. 그래서 여행도 갈까 생각 중이야.,Pro_03599,Pro_03599_00024,E68,S04_D02,
train-043131,train,청년,남성,대인관계,해당없음,불안,불안,ANXIOUS,대학교에 또 떨어진 것 때문에 부모님이 싸우셨어. 이번이 정말 마지막이라고 생각했는데. 내가 빨리 대학교에 붙어야 부모님이 싸우지 않으실 텐데. 부모님과 함께 맛있는 밥을 먹고 다 같이 기분 전환을 하러 여행을 갔어. 이번에도 그래야겠어.,Pro_03561,Pro_03561_00012,E30,S04_D02,
train-028924,train,청년,남성,"진로,취업,직장",해당없음,분노,안달하는,ANXIOUS,지금 너무나 초조하고 걱정이 돼. 하반기 취업 시장이 시작됐거든. 이번엔 꼭 합격해야 할 텐데. 열 군데도 넘는 회사에 지원했지. 남은 기간까지도 더 열심히 준비할 거야.,Pro_03787,Pro_03787_00033,E16,S06_D02,
train-010155,train,중년,남성,"직장, 업무 스트레스",해당없음,기쁨,감사하는,HAPPY,직장에서 정말 고마운 일을 겪었어. 사장님이 지시한 일이 있는데 내가 일이 많이 있어서 그 일들을 시간 내에 하지 못하는 상황에서 동료가 자진해서 도와주겠다고 했고 도움을 받았어. 특별히 감사 인사라기보다는 밥 먹으러 가서 내가 계산했지. 가까이 있는 동료지만 자기 시간 버리면서 도와주는 것이 쉬운 게 아니야.,Pro_07432,Pro_07432_00011,E61,S10_D02,
train-009579,train,중년,남성,건강,해당없음,기쁨,안도,CALM,다행히도 아직 크게 아픈 적이 없었네. 건강을 지키려며 지금부터라도 운동을 시작해야겠지? 걷기 운동이 무난하지 않을까? 산책 같은.,Pro_07318,Pro_07318_00007,E67,S09_D02,
train-018486,train,청년,여성,"진로,취업,직장",해당없음,기쁨,만족스러운,HAPPY,이번에 이직한 직장이 너무 마음에 들어. 아직 적응이 안 되는데 어떻게 해야 잘할 수 있을까? 나는 문서작성을 잘하기 때문에 그것부터 시작해야겠어.,Pro_05395,Pro_05395_00033,E64,S06_D02,
train-036631,train,청소년,여성,가족관계,해당없음,기쁨,신뢰하는,CALM,아이돌이 되기로 결정했어. 내가 노래를 좀하는데 다른 분들 앞에서 부를때마다 행복해. 아직 말씀 안드렸는데 들으면 좋아하실꺼야. 항상 내 의견을 존중해주시거든.,Pro_01673,Pro_01673_00020,E62,S01_D02,
train-021378,train,청소년,남성,학업 및 진로,해당없음,상처,질투하는,ANGRY,부모님한테는 항상 공부를 잘하는 형이 먼저야. 너무 속상해. 내가 아무리 형보다 못나도 똑같은 자식이잖아. 부모님에게 솔직한 감정을 말해서 알아달라고 해야겠어.,Pro_00212,Pro_00212_00014,E41,S02_D02,
train-042189,train,청년,남성,대인관계,해당없음,상처,억울한,ANGRY,아토피가 군대에서 극심해졌는데 이거 때문에 취업이 안 되는 게 말이 돼? 세상이 미쳤어. 군대에서 얻은 질환인데도 그걸 바라보는 사회가 이렇다니까? 이래서 한국에 살겠어? 이민 가버릴 거야! 부모님과 당장 의논하겠어.,Pro_03578,Pro_03578_00024,E47,S04_D02,
train-042684,train,청년,남성,대인관계,해당없음,불안,스트레스 받는,ANXIOUS,아내와 가사 분담하기로 약속했는데 회사에서 돌아오면 너무 피곤해서 아무것도 하기 싫어. 아내가 화를 내. 약속을 지켜야 된다는 건 알지만 뭘 하든 지치고 의욕이 안나. 미친 듯이 일을 했었는데 별로 좋은 방법은 아닌 것 같아.,Pro_03563,Pro_03563_00013,E32,S04_D02,
train-048625,train,청소년,여성,학업 및 진로,해당없음,불안,걱정스러운,ANXIOUS,에스엔에스 댓글에 신경 쓰다 보니 학업에 소홀했어. 내 성적이 너무 불만스러워. 에스엔에스로 소통하는 것이 재미있어서 학업에 집중하기가 힘들어. 학교 공부를 다 끝낸 다음에 에스엔에스 관리를 하는 쪽으로 계획을 세워야겠어.,Pro_01768,Pro_01768_00023,E37,S02_D02,
train-036033,train,청소년,여성,가족관계,해당없음,불안,불안,ANXIOUS,부모님이 오늘 다투셨어. 예전처럼 따로 산다고 하실까봐 초조해. 맞아. 예전에도 이런 일이 있었거든. 속히 화해하셨으면 좋겠다. 이전에는 내가 부모님께 진실되게 말씀드려서 두분이 진지하게 얘기하셨어. 이번에도 그렇게 해봐야겠다.,Pro_01641,Pro_01641_00017,E30,S01_D02,
