sample_id,split,age_group,gender,situation_keyword,physical_disease,emotion_major,emotion_minor,service_label,text,persona_id,talk_id,emotion_code,situation_code,service_label_original,tired_heuristic_applied,tired_heuristic_reason
train-035525,train,청소년,여성,학교폭력/따돌림,해당없음,기쁨,만족스러운,HAPPY,학교 폭력을 휘두르던 친구를 선생님과 같이 신고했어. 결과가 나왔는데 만족스럽고 기분이 좋아. 그 친구들은 이제 학교를 다니지 못하게 되었어. 이제 나도 괴롭힘 당할 일이 없어져서 기쁘다. 이제 벗도 만들고 공부도 열심히 하면서 편안하게 보내려고.,Pro_01915,Pro_01915_00010,E64,S03_D02,HAPPY,False,missing-fatigue-keyword
train-025629,train,노년,여성,재정,만성질환 유,기쁨,안도,CALM,대장내시경을 하다가 용종을 발견했는데 제거하면 문제가 없다고 하셔서 다행이야. 왜 용종이 있었던 걸까? 만성질환이 있고 평소에도 음식을 짜고 기름지게 먹었던 것 같아.,Pro_12418,Pro_12418_00009,E67,S13_D01,CALM,False,missing-fatigue-keyword
train-036838,train,청소년,여성,학업 및 진로,해당없음,기쁨,흥분,HAPPY,내가 이번에 반에서 일등이래! 일등은 처음 해봐서 진짜 아주 좋아. 응. 잠도 안 자가면서 진짜 열심히 했어.,Pro_01796,Pro_01796_00012,E65,S02_D02,HAPPY,False,missing-fatigue-keyword
train-005510,train,청년,여성,"진로,취업,직장",해당없음,불안,당혹스러운,ANXIOUS,채용되었다고 연락이 왔던 회사에서 오늘 갑자기 취소 통보를 했어. 진짜 너무 당혹스러워. 친구 어머니가 변호사이시니까 도움을 받아볼게. 들어줘서 고마워.,Pro_05366,Pro_05366_00049,E35,S06_D02,ANXIOUS,False,missing-fatigue-keyword
train-008329,train,청년,여성,"연애,결혼,출산",해당없음,불안,조심스러운,ANXIOUS,소개팅에서 만난 사람과 좋은 관계를 유지 중이야. 그런데 막상 깊게 사귀려니 조심스러워지네. 아무래도 결혼적령기니 진지한 만남을 가지고 싶어서.,Pro_05249,Pro_05249_00013,E38,S05_D02,ANXIOUS,False,missing-fatigue-keyword
train-012792,train,청소년,남성,학교폭력/따돌림,해당없음,당황,한심한,ANGRY,싫어 할 것은 알았지만 진심을 말했더니 애들이 싫어해. 진심을 말하면 그래도 이해해줘야 하는 것 아니야? 그래도 한 번 더 애들한테 말해봐야지. 애들이 싫어한다고 포기할 순 없어.,Pro_00349,Pro_00349_00012,E58,S03_D02,ANGRY,False,missing-fatigue-keyword
train-022492,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,감사하는,HAPPY,나의 절친한 친구가 축의금을 엄청 많이 내주어서 기뻐. 친구에게 고마운 마음이 커. 고맙다고 이야기를 하고 나중에 친구가 결혼할 때 나도 축의금을 많이 낼 거야.,Pro_05272,Pro_05272_00011,E61,S05_D02,HAPPY,False,missing-fatigue-keyword
train-015080,train,청소년,남성,학교폭력/따돌림,해당없음,기쁨,안도,CALM,괴롭히던 아이들에게 말을 걸었는데 괜찮았어. 그래서 기뻐. 이제 계속 말 걸고 친해지면 더 관계가 좋아지겠지? 계속해서 말을 걸면서 친해지는 것도 나쁘지 않을 거 같아.,Pro_00358,Pro_00358_00001,E67,S03_D02,CALM,False,missing-fatigue-keyword
train-013759,train,청소년,여성,학교폭력/따돌림,해당없음,슬픔,환멸을 느끼는,ANGRY,돈 없다고 다른 애들을 무시하는 애들을 보면 막 화가 나. 맞아. 정말 왜 저러나 싶어. 가서 직접 이야기했지. 이번에도 한마디 해줘야겠어.,Pro_01880,Pro_01880_00012,E29,S03_D02,ANGRY,False,missing-fatigue-keyword
train-028937,train,청년,남성,"진로,취업,직장",해당없음,기쁨,신뢰하는,CALM,직장 상사가 너무 많은 일을 맡기고 있어. 아직은 감당할 수 있는 정도지만 점점 더 많은 일을 맡게 될 것 같아 신경 쓰여. 응 친한 동료에게 조언을 구해 봐야겠어. 내가 앞으로도 잘 해낼 수 있을까?,Pro_03833,Pro_03833_00032,E62,S06_D02,CALM,False,missing-fatigue-keyword
train-019986,train,청소년,여성,학업 및 진로,해당없음,기쁨,신뢰하는,CALM,최근에 성적이 조금 떨어져서 아쉬웠는데 엄마 아빠가 내 마음을 이해해주셨어. 우울할 때나 슬플 때 가족들과 이야기하면 좀 나아지는 것 같아. 어젯밤에도 엄마와 드라마를 보면서 이런저런 이야기했었는데 좋았어.,Pro_01793,Pro_01793_00024,E62,S02_D02,CALM,False,missing-fatigue-keyword
train-019950,train,청소년,남성,가족관계,해당없음,당황,열등감,SAD,형이 없으면 나도 가족들에게 인정받을 수 있을 거야. 형 때문에 나는 항상 가족들에게 인정받지 못했어. 내가 형보다 잘하는 것을 가족들에게 자랑할 거야.,Pro_00105,Pro_00105_00039,E54,S01_D02,SAD,False,missing-fatigue-keyword
train-031489,train,중년,여성,"직장, 업무 스트레스",해당없음,불안,초조한,ANXIOUS,회사에 제출해야 하는 보고서 기한이 얼마 안 남아서 너무 떨려. 열심히 노력해서 만족스러운 보고서를 만들 거야.,Pro_08970,Pro_08970_00018,E39,S10_D02,ANXIOUS,False,missing-fatigue-keyword
train-041340,train,노년,여성,"건강,죽음",만성질환 무,상처,억울한,ANGRY,남편이 병을 얻어서 집으로 돌아왔어. 십 년 전에 집을 나가서 가정은 돌아보지도 않더니 병 들어 돌아 온 남편이 정말 원망스러워. 당장 내쫓고 싶지만 그래도 애들 아빠니까 하는 마음도 있고 결정을 못하겠어.,Pro_12218,Pro_12218_00025,E47,S11_D02,ANGRY,False,missing-fatigue-keyword
train-031345,train,청소년,여성,가족관계,해당없음,불안,두려운,ANXIOUS,나 아빠가 매일 술먹고 와서 때려서 무서워. 나 얼른 성인이 되어서 독립하고 싶어.,Pro_01642,Pro_01642_00004,E31,S01_D02,ANXIOUS,False,missing-fatigue-keyword
train-009194,train,청년,여성,"진로,취업,직장",해당없음,기쁨,자신하는,HAPPY,정말 기분이 좋아 이번엔 취업할 수 있을 거 같아. 면접 준비를 도와주신 지인께 선물해드리고 싶어! 지갑을 생각하고 있어!,Pro_05400,Pro_05400_00032,E69,S06_D02,HAPPY,False,missing-fatigue-keyword
train-014759,train,노년,남성,대인관계,만성질환 무,상처,질투하는,ANGRY,내 자녀들은 내 나이 때보다 유복한 삶을 누리는 것 같아. 이런 생각하면 안 되는데 나보다 잘 사는 거니깐 부럽지. 바꾸는 것보다는 내 자녀들이 더 잘 살 수 있게 해줄 거야.,Pro_09812,Pro_09812_00013,E41,S04_D02,ANGRY,False,missing-fatigue-keyword
train-032080,train,중년,여성,건강,해당없음,기쁨,안도,CALM,나 어제 쓰러졌었는데 별것 아니어서 안도했어. 건강을 위한 노력을 안 해서 걱정했는데 가벼운 빈혈이래서 다행이야. 운동과 식단 관리를 좀 해보려고 해.,Pro_08878,Pro_08878_00005,E67,S09_D02,CALM,False,missing-fatigue-keyword
train-045070,train,청년,여성,대인관계,해당없음,상처,상처,SAD,나는 지금 혼자 살고 싶은데 그러고자 하니 걱정되는 게 너무 많아. 집도 그렇고 비용도 그렇고 생각해야 할 게 한두 개가 아니야. 먼저 독립한 친구들에게 조언을 들어볼래.,Pro_05131,Pro_05131_00012,E40,S04_D02,SAD,False,missing-fatigue-keyword
train-011375,train,중년,남성,건강,해당없음,불안,초조한,ANXIOUS,운동하다가 넘어져서 왼쪽 발을 접질렸는데 낫지를 않네. 그냥 쉬고 있었는데 앞으로는 찜질과 물리치료를 받아볼 생각이야.,Pro_07290,Pro_07290_00026,E39,S09_D02,ANXIOUS,False,missing-fatigue-keyword
train-019567,train,중년,남성,건강,해당없음,기쁨,감사하는,HAPPY,건강검진 덕분에 조기에 질병을 발견해서 치료할 수 있었어. 참 감사한 일이야. 모르고 그냥 뒀으면 커질 수 있는 병이었는데 운 좋게 발견했어. 앞으로도 꾸준히 건강검진을 받아야겠어. 가족들에게도 꼭 받으라고 해야지.,Pro_07312,Pro_07312_00003,E61,S09_D02,HAPPY,False,missing-fatigue-keyword
train-015668,train,노년,남성,대인관계,만성질환 유,기쁨,만족스러운,HAPPY,아내가 나에게 내가 당뇨병인데도 내 친구들보다 내가 훨씬 젊어 보인대. 앞으로도 내가 당뇨병인 만큼 건강관리도 열심히 해야지. 규칙적인 생활도 하고 아내와 운동도 자주 해야지.,Pro_09775,Pro_09775_00004,E64,S04_D01,HAPPY,False,missing-fatigue-keyword
train-005997,train,중년,여성,건강,해당없음,기쁨,만족스러운,HAPPY,며칠 전에 종합 건강검진을 받았어. 내 돈을 주고 종합적으로 받은 것은 이번이 처음이야. 정말 좋았어. 꼼꼼히 검사했으니 결과가 어떻게 나올지도 궁금하면서 떨리고.,Pro_08875,Pro_08875_00004,E64,S09_D02,HAPPY,False,missing-fatigue-keyword
train-008192,train,청년,여성,대인관계,해당없음,분노,방어적인,ANGRY,사람들이랑 너무 친해지는 건 안 좋은 것 같아. 너무 친해지면 거절하고 싶은 부탁을 하더라고. 예를 들면 돈을 빌려달라고 한다든지. 몰라 나는 그냥 거리를 두는 것 같아.,Pro_05105,Pro_05105_00026,E14,S04_D02,ANGRY,False,missing-fatigue-keyword
train-012358,train,청년,여성,"연애,결혼,출산",해당없음,기쁨,신이 난,HAPPY,나 드디어 출산이 일주일 남았어! 너무 신나. 응! 안 그래도 골반도 허리도 너무 아파서 언제 나오나 했는데 드디어 다 와 가네. 응. 웬만한 거는 다 준비해 뒀어.,Pro_05279,Pro_05279_00007,E68,S05_D02,HAPPY,False,missing-fatigue-keyword
train-043187,train,청소년,남성,학교폭력/따돌림,해당없음,분노,방어적인,ANGRY,아빠가 친구들과 잘 지내라고 하셨는데 내가 친구들한테 거짓말한 게 있어 눈치 보게 돼. 그뿐 아니라 친구들은 항상 나보다 잘하는 게 많은 것 같아 열등감이 느껴져. 친구들한테는 없는 내 장점과 잘하는 것을 찾아 자신감을 회복해야겠어.,Pro_00305,Pro_00305_00028,E14,S03_D02,ANGRY,False,missing-fatigue-keyword
train-020133,train,노년,여성,대인관계,만성질환 유,분노,방어적인,ANGRY,옆집 이웃 박씨가 당뇨 약을 먹으면서 담배를 피는데 관심 안 두기로 했어. 처음에는 걱정이 돼서 담배를 끊으라고 말했는데 아무리 말해도 의미가 없더라고. 이제 박씨 건강 문제에는 관여안하려고.난 나의 건강을 지키는대에 집중하려고해.,Pro_11285,Pro_11285_00007,E14,S04_D01,ANGRY,False,missing-fatigue-keyword
train-020380,train,노년,남성,대인관계,만성질환 무,분노,짜증내는,ANGRY,내가 손자 봐주는 것도 좋지. 그런데 우리도 좀 쉴 시간이 있어야지 말이야. 맞아. 손자가 싫은 건 아닌데 휴식이 필요한 나이에 너무 치이는 것 같아. 조심스럽게 힘에 부쳐서 힘들다고 딸애한테 말해야겠어.,Pro_09784,Pro_09784_00015,E13,S04_D02,ANGRY,False,missing-fatigue-keyword
train-020211,train,청년,남성,"연애,결혼,출산",해당없음,기쁨,감사하는,HAPPY,그녀와 싸울 때마다 친구들이 없었다면 우리는 화해는 커녕 벌써 헤어졌을 거야. 고마운 녀석들이지. 그지! 항상 도움을 주는 친구들에게 보답을 하고 싶네. 우리끼리 모임을 할 때 내가 크게 한턱을 내서 나의 고마움을 표현하고 싶어.,Pro_03712,Pro_03712_00001,E61,S05_D02,HAPPY,False,missing-fatigue-keyword
train-043966,train,청소년,여성,학업 및 진로,해당없음,슬픔,후회되는,SAD,고등학교에 올라와서 시험 성적이 점점 떨어지고 있어. 성적표를 보고 눈물이 났어. 열심히 공부해도 시험에서 실수해서 성적이 계속 떨어져. 너무 안타까워. 친구들에게 시험에서 실수하지 않는 법을 물어봐야겠어.,Pro_01754,Pro_01754_00003,E23,S02_D02,SAD,False,missing-fatigue-keyword
train-034148,train,청소년,남성,학업 및 진로,해당없음,기쁨,감사하는,HAPPY,나 올림피아드에서 금상 받았어! 그동안 고생이 헛되지 않아서 너무 기뻐. 근데 친구들이 없었다면 못 했을 거야. 대회장에서 처음부터 끝까지 응원해 줘서 너무 큰 힘이 됐어. 내일 저녁에 빕스에서 저녁을 살 거야.,Pro_00232,Pro_00232_00003,E61,S02_D02,HAPPY,False,missing-fatigue-keyword
train-020641,train,청년,여성,대인관계,해당없음,슬픔,낙담한,SAD,친구가 알선을 해 준 회사에 바로 입사했는데 내가 맡은 건 친구에게 들었던 일이 아니라 실망했어. 친구는 전 직장의 경험을 살릴 수 있다고 했는데 막상 입사했더니 아니야. 일단 입사했으니 친구 입장을 생각해서 삼 개월만 견디고 이직해야겠어.,Pro_05119,Pro_05119_00074,E28,S04_D02,SAD,False,missing-fatigue-keyword
train-047370,train,노년,여성,대인관계,만성질환 무,슬픔,후회되는,SAD,노년에 이혼이라는 선택을 내린 것이 너무 안타까워. 이혼을 하는 것 때문에 앞으로의 인생이 무의미할 것만 같아. 활동적이고 의미 있게 살아가는 방법을 여러 가지 찾아서 다양한 사람들과 어울리고 있어.,Pro_11354,Pro_11354_00016,E23,S04_D02,SAD,False,missing-fatigue-keyword
train-015641,train,노년,남성,"건강,죽음",만성질환 무,슬픔,실망한,SAD,독감 예방접종을 공짜로 해준다 해서 병원에 갔더니 약이 없다고 해 실망한 채로 돌아왔어. 안 그래도 독감이 곧 유행한다는데 걱정이야 정말. 보건소에서 무료 예방접종 한다고 문자가 왔으니 내일 보건소에 갈까 해.,Pro_10632,Pro_10632_00013,E21,S11_D02,SAD,False,missing-fatigue-keyword
train-032085,train,중년,여성,"직장, 업무 스트레스",해당없음,분노,안달하는,ANXIOUS,이번 승진 시험 잘 볼 수 있을까? 너무 불안해. 동기 중에서 내 직급이 가장 낮아. 나는 항상 왜 이럴까? 그러게 말야. 비교만 하기보다 진작에 더 열심히 할 걸 그랬어. 후회가 되네.,Pro_08947,Pro_08947_00005,E16,S10_D02,ANXIOUS,False,missing-fatigue-keyword
train-004441,train,중년,여성,건강,해당없음,기쁨,만족스러운,TIRED,항상 피곤하고 지친 느낌을 많이 받았는데 요즘 운동 시작하고 많이 좋아졌어. 친구 추천으로 요가를 시작했는데 처음에는 힘들었거든? 근데 지금은 컨디션도 좋아지고 심리적으로도 안정감이 들어서 만족스러워. 다른 운동보다 나한테는 요가가 잘 맞는 것 같아.,Pro_08875,Pro_08875_00017,E64,S09_D02,HAPPY,True,fatigue+physical-context
train-000955,train,중년,남성,건강,해당없음,기쁨,감사하는,HAPPY,아내가 이제 건강해져서 여행도 다니고 있어. 그런 모습을 보는 것이 참 기뻐. 예전에는 건강해지기만 해도 소원이 없겠다고 생각했는데 이제 자유롭게 여행을 다니네. 혹시나 또 아프지 않도록 옆에서 잘 챙겨줄 거야. 함께 오래오래 살아야지.,Pro_07312,Pro_07312_00013,E61,S09_D02,HAPPY,False,missing-fatigue-keyword
train-051434,train,중년,남성,"직장, 업무 스트레스",해당없음,불안,초조한,ANXIOUS,요새 회사에서 너무 일이 많고 회사 분위기도 안 좋아서 짜증 나. 일 때문에 집에서도 내가 아내에게 기분 안 좋은 티를 내서 스스로에게 짜증 나. 아내에게 회사에서 일에 대해 대화를 나누고 깊은 대화를 해봐야겠어.,Pro_07410,Pro_07410_00011,E39,S10_D02,ANXIOUS,False,missing-fatigue-keyword
train-025357,train,노년,여성,대인관계,만성질환 유,기쁨,편안한,CALM,치매 때문에 세상이 무너지는 기분이었어. 그런데 딸에게 털어놓으니 나와 동행하려 하더군. 그동안 왜 그렇게 혼자서 고민했는지 몰라. 딸과 함께하니까 부담이 훨씬 덜해. 딸과 병원에 가서 더 자세한 상담을 받아보는 것이 좋겠어.,Pro_11334,Pro_11334_00011,E63,S04_D01,CALM,False,missing-fatigue-keyword
train-035578,train,청소년,여성,학업 및 진로,해당없음,기쁨,느긋,HAPPY,나는 내 장래의 직업을 빨리 정할 필요 없다고 생각하는데 부모님이 서두르라 하셔. 응 근데 천천히 결정해도 되는 거 아닌가? 난 아직 직업을 정하지 않았어. 찾으면 그 뒤로 꿈을 위해 노력할 거야.,Pro_01797,Pro_01797_00003,E66,S02_D02,HAPPY,False,missing-fatigue-keyword
train-034701,train,청년,남성,"진로,취업,직장",해당없음,기쁨,신이 난,HAPPY,부모님께 용돈 드리고 집에 가는 길이 뿌듯하네. 소싯적에 우리 가족 먹여 살리려고 정말 고생 많이 했거든. 자영업으로 성공한 내 도움에 우리 집은 재기할 수 있었어.,Pro_03839,Pro_03839_00008,E68,S06_D02,HAPPY,False,missing-fatigue-keyword
train-035897,train,청소년,여성,학업 및 진로,해당없음,상처,배신당한,SAD,한달동안 미적분 정말 열심히 공부했는데 시험범위를 잘못들어서 성적이 바닥이야. 이 성적으로 내가 희망하는 대학에 입학할 수 있을지 모르겠어. 응 힘내봐야지 저번시험은 잊고 미래만 생각해볼래.,Pro_01773,Pro_01773_00029,E42,S02_D02,SAD,False,missing-fatigue-keyword
train-050239,train,중년,남성,"재정,은퇴,노후준비",해당없음,상처,버려진,SAD,자기 밥벌이도 제대로 하지 못하는 나는 글렀어. 나는 이제 이 세상에 쓸모없는 사람이야. 경제적으로 도움을 받을 수 있는 곳이 없나 알아봐야겠어.,Pro_07180,Pro_07180_00020,E49,S08_D02,SAD,False,missing-fatigue-keyword
train-020238,train,중년,여성,"대인관계(부부, 자녀)",해당없음,당황,죄책감의,TIRED,회사에서 매일 야근하다보니 아침에 피곤해서 수험생 딸 아침을 못 챙겨주네. 엄마가 피곤하다는 이유로 아침을 못 챙겨주니 너무 미안해. 저녁에 내일 아침식사까지 같이 준비해 놓고 자야겠어.,Pro_08626,Pro_08626_00025,E55,S07_D02,SAD,True,fatigue+physical-context
train-020253,train,중년,여성,"직장, 업무 스트레스",해당없음,슬픔,낙담한,TIRED,오늘도 회사에서 밤새야 할 것 같아. 너무 피곤해 잠이 와서 죽을 것 같아. 일을 차근하게 준비해서 처리하는 습관을 길러야겠어.,Pro_08959,Pro_08959_00007,E28,S10_D02,SAD,True,fatigue+physical-context
train-039430,train,노년,여성,대인관계,만성질환 유,불안,혼란스러운,TIRED,늙으니 돈도 없어서 이혼하고 싶어. 몸도 아프니 누구랑 같이 살고 싶지가 않아. 혼자 편하게 살고 싶어. 누구랑 같이 있으면 신경쓰느라 안절부절 하게 되니까 점점 지치게 되더라고.,Pro_11305,Pro_11305_00026,E34,S04_D01,ANXIOUS,True,fatigue+physical-context
train-010789,train,중년,남성,"대인관계(부부, 자녀)",해당없음,상처,고립된,TIRED,일요일에 피곤해서 잠깐 자다가 일어나니까 집에 아무도 없더라고. 나한테 말도 없이 다들 외출을 했어. 아내한테 전화했는데 전화를 받지 않아 순간적으로 외톨이 된 것 같았어.,Pro_07054,Pro_07054_00024,E43,S07_D02,SAD,True,fatigue+physical-context
train-007271,train,청년,여성,"연애,결혼,출산",해당없음,상처,"가난한, 불우한",SAD,남자친구랑 이 년째 연애 중인데 요즘 돈이 궁해서 만나기 부담스러워져. 데이트하다 보면 하루에 십만 원 가까이 쓰게 되는데 대학생인 내가 아르바이트해서 번 돈으로는 너무 빠듯해.,Pro_05256,Pro_05256_00012,E45,S05_D02,SAD,False,missing-fatigue-keyword
train-011197,train,중년,여성,"직장, 업무 스트레스",해당없음,불안,회의적인,TIRED,요즘 너무 힘들어. 업무량이 많아서 늦게까지 일하느라 몸이 피곤해.,Pro_08967,Pro_08967_00006,E36,S10_D02,ANXIOUS,True,fatigue+physical-context
train-037457,train,청소년,여성,학업 및 진로,해당없음,슬픔,환멸을 느끼는,ANGRY,다들 훌륭한 대학교 가라고 하는데 정말 진절머리가 나. 아주 환멸이 나게 만든다니까. 대학이 뭐라고. 그냥 대학이 전부는 아니라고 얘기 하지.,Pro_01760,Pro_01760_00007,E29,S02_D02,ANGRY,False,missing-fatigue-keyword
train-046242,train,청년,여성,"진로,취업,직장",해당없음,분노,노여워하는,TIRED,정규직으로 전환되려면 일을 열심히 해야 해. 동기들보다 몸이 아파서 못하고 있어. 어렸을 때부터 몸이 약해서 쉽게 피곤해지고 힘들거든. 이러다가 낙오될 것 같아. 일단 내가 일을 하는 시간에라도 최선을 다해서 해야겠어. 그래야 할 것 같아.,Pro_05349,Pro_05349_00054,E18,S06_D02,ANGRY,True,fatigue+physical-context
train-000513,train,중년,여성,"재정,은퇴,노후준비",해당없음,분노,성가신,ANGRY,퇴직 후 쉴 틈도 없이 남편이 구직하라고 매일 성화니 성가셔 죽겠어. 내가 허리가 아파서 일을 관둔 걸 알면서도 돈을 벌라고 일을 알아보라고 닦달을 하니 서운해. 아무래도 남편하고 저녁에는 구직에 대해 이야기를 해 봐야겠어.,Pro_08710,Pro_08710_00023,E19,S08_D02,ANGRY,False,missing-fatigue-keyword
train-003831,train,중년,여성,"대인관계(부부, 자녀)",해당없음,기쁨,안도,CALM,아이가 싸운 친구랑 화해했대. 나도 얼마나 안심이 되는지 모르겠어.,Pro_08638,Pro_08638_00016,E67,S07_D02,CALM,False,missing-fatigue-keyword
train-041148,train,노년,여성,"건강,죽음",만성질환 무,당황,죄책감의,TIRED,공공근로를 하다 보니 몸과 마음이 너무 피곤해. 아니 일하니까. 남편이 아플 때도 옆에서 보살펴주지 못했어. 그때 좀 더 따뜻하게 성의껏 보살펴 주지 못하고 먼저 보낸 게 후회되네.,Pro_12226,Pro_12226_00003,E55,S11_D02,SAD,True,fatigue+physical-context
train-005661,train,청년,여성,"진로,취업,직장",해당없음,당황,외로운,TIRED,이직한 지 아직 일주일째라 친한 사람이 없어서 외로워. 퇴근 후에 운동하면서 생각을 하지 않으려 해. 그러면 정리도 되고 녹초가 되면 몸은 힘들어도 마음은 편해지거든.,Pro_05384,Pro_05384_00017,E53,S06_D02,SAD,True,fatigue+physical-context
train-026593,train,청년,남성,"진로,취업,직장",해당없음,기쁨,신뢰하는,CALM,내일 내가 취직하고 싶은 기업의 면접이 예정 돼 있어. 혼자 가면 긴장 했을 것 같은데 내 친구랑 같이 갈 계획이라 든든하고 믿음직스러워.,Pro_03833,Pro_03833_00013,E62,S06_D02,CALM,False,missing-fatigue-keyword
train-004713,train,청년,여성,대인관계,해당없음,기쁨,안도,CALM,이번에 새로 들어온 동료가 성격이 괜찮아서 참 다행이야. 성격도 나랑 비슷해서 잘 맞고 일 처리도 마음에 들어.,Pro_05158,Pro_05158_00029,E67,S04_D02,CALM,False,missing-fatigue-keyword
train-005216,train,청년,여성,"연애,결혼,출산",해당없음,상처,버려진,TIRED,남편이 주말마다 피곤하다고 아이와 놀아주지를 않아. 나도 주말에 쉬고 싶은 건 마찬가진데. 남편은 잠자거나 티브이나 보니 내 감정만 버려진 기분이야. 오늘은 진지하게 이야기를 나눠보려고 해.,Pro_05260,Pro_05260_00018,E49,S05_D02,SAD,True,fatigue+physical-context
train-049984,train,청소년,남성,가족관계,해당없음,슬픔,낙담한,SAD,부모님이 이혼하셔서 엄마와 살고 있는데 아빠가 보고 싶어도 보고 싶다는 말을 못 해서 속상해. 가끔 만나기는 하지만 내가 정말 필요할 때는 볼 수가 없으니 많이 서운해. 엄마와 진지하게 대화를 나눠봐야겠어.,Pro_00079,Pro_00079_00017,E28,S01_D02,SAD,False,missing-fatigue-keyword
train-030549,train,청소년,여성,가족관계,해당없음,기쁨,기쁨,HAPPY,요즘 가족과 함께하는 시간이 많아져서 좋아. 같이 밥 먹거나 이야기 해.,Pro_01671,Pro_01671_00032,E60,S01_D02,HAPPY,False,missing-fatigue-keyword
