sample_id,service_label,baseline_pred,baseline_score,emotion_minor,emotion_major,text,manual_relabel_reason,v2_pred,v2_score
valid-001125,HAPPY,HAPPY,0.3682872951030731,자신하는,기쁨,학교폭력 가해자 애들이 사라져서 이제 학교에 나 괴롭히는 사람은 없을 거야. 나를 괴롭히던 가해자들이 학교에서 퇴학당했어. 선생님께 말씀을 드렸는데 내 말을 믿어주시고 나를 지지해 주셨어.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3442957401275635
valid-002353,HAPPY,HAPPY,0.3726174235343933,흥분,기쁨,큰 손주가 좋은 회사에 취직했대. 정말 기분 좋아. 취업 선물로 좋은 걸 하고 싶어. 이름 적을 때 쓰라고 만년필을 사줘야겠어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3588842749595642
valid-004772,HAPPY,HAPPY,0.3744693696498871,기쁨,기쁨,다음 주부터 매주 친구들하고 모임을 갖기로 해서 너무 기뻐. 매주 만나서 좋아하는 시 한 편을 낭송하는 시 낭송 모임이야.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.358123779296875
valid-004068,HAPPY,HAPPY,0.3722636103630066,감사하는,기쁨,학교폭력으로 힘든 나를 친구가 위로해주었어. 친구가 많은 이야기를 해주지는 않았어도 옆에 있다는 것이 큰 힘이 돼. 친구에게 고마운 마음으로 친구에게 감사 편지를 주는 건 어떨까?,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3553932905197143
valid-005673,HAPPY,HAPPY,0.3609139323234558,기쁨,기쁨,건강 검진받았는데 생각보다 건강해서 기뻐. 건강관리를 꾸준히 해야겠어.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3536597490310669
valid-003847,HAPPY,HAPPY,0.3686303794384002,자신하는,기쁨,딸의 남자친구를 만났는데 너무 괜찮았어. 아주 다정하고 늠름하고 딸에게 잘해 주는 모습이 마음에 들었어. 예쁜 만남을 기대하지만 부모가 껴서 좋을 게 없으니 지켜봐야지.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.3541586995124817
valid-006593,HAPPY,HAPPY,0.3793276250362396,기쁨,기쁨,동료들이 나 몰래 생일파티를 준비해 줬어. 정말 기뻤어. 생각지도 못한 이벤트라 감동했어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.353598803281784
valid-002456,HAPPY,HAPPY,0.3726033568382263,기쁨,기쁨,집안일을 하고 나서 엄마가 용돈을 줬어. 너무 좋아. 친구 엄마들은 딸이 집안일을 하는 걸 당연하게 생각한대. 우리 엄마는 안 그래서 고마워. 받은 용돈으로 운동화를 살 생각에 신나.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3575438261032104
valid-004510,HAPPY,HAPPY,0.3747398555278778,신이 난,기쁨,이번에 진급해서 연봉이 꽤 올랐어. 그동안의 스트레스가 한 번에 보상되는 기분이야.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3543106913566589
valid-001722,HAPPY,HAPPY,0.3714279532432556,느긋,기쁨,노년의 연애가 나를 더욱 건강하게 만드는 것 같아서 기뻐. 남은 시간 얼마 남지 않았는데 지금이라도 많이 즐겨야지. 사랑하는 사람과 여행도 다니면서 보내야지.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.3580645024776459
valid-001256,HAPPY,HAPPY,0.3714990615844726,흥분,기쁨,우리 며느리가 순산해서 첫손주가 건강하게 잘 태어났어. 이보다 더 행복할 수 없어. 며느리도 나도 떨리고 걱정됐는데 무사히 잘 나와서 이렇게 웃는 모습을 보니 너무 예뻐. 사진을 많이 찍어둬서 이 행복을 기록해놔야겠어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3528859317302704
valid-004394,HAPPY,HAPPY,0.3709347248077392,만족스러운,기쁨,내가 이번에 동생 시험 준비할 때 공부를 도와줬는데 만점을 받아왔어. 기쁘네. 부모님께서도 특히 좋아하셔서 내가 칭찬을 많이 받았어. 처음엔 귀찮았는데 만점을 받았더니 내가 받은 것처럼 너무 기분이 좋고 칭찬받으니 더 좋네.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3576140999794006
valid-002553,HAPPY,HAPPY,0.3720336854457855,자신하는,기쁨,내가 주먹을 휘두르니까 괴롭히던 애들이 도망갔어. 이제 자신감이 생겼어. 이제 애들이 다시 날 괴롭혀도 이길 수 있을 것 같아. 이제 집에 가야지. 앞으로는 친구가 괴롭히면 당당하게 나서겠어.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.3364181220531463
valid-006615,HAPPY,HAPPY,0.3718307018280029,자신하는,기쁨,대학원 조 발표가 있는데 잘 해낼 자신이 있어. 벌써 조원들과 친목 도모도 성공했는걸. 다들 엘리트에 학구열도 높아서 친해지고 싶은 구성원이야. 조 발표뿐만 아니라 남은 학교생활도 재미있을 것 같아.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.3570092022418976
valid-004785,HAPPY,HAPPY,0.3717853724956512,느긋,기쁨,며칠 전에 건강 검진을 했었는데 나는 나이에 비해 정말 건강한 편이래. 응. 이제 마음을 좀 더 느긋하게 먹어도 될 것 같아.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3555912971496582
valid-001246,HAPPY,HAPPY,0.3744669258594513,만족스러운,기쁨,착하고 좋은 내 친구들 덕분에 학교 생활이 더 재미있는 것 같아서 만족스러워. 근데 그 친구들 중에 한명이 이번주 생일인데 선물을 어떤 것을 할지 고민이야. 액세서리를 좋아하니까 팔찌가 좋을 것 같아.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.3612646162509918
valid-003752,HAPPY,HAPPY,0.3717060685157776,감사하는,기쁨,딸이 내 얼굴이 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아. 기쁘지. 나를 닮았으면 딸에게도 미안했을 거야. 나는 아내 보다 못생겨서 날 닮았으면 딸도 싫어했을 거야. 이대로 예쁘게 컸으면 좋겠어.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3442846834659576
valid-002980,HAPPY,HAPPY,0.3756983876228332,신이 난,기쁨,복권에 당첨됐어. 너무 신나. 그렇게 큰 금액은 아니지만 공돈이 생기니 기분이 좋네. 이 돈으로 오랜만에 가족들과 외식을 해야겠어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.356632798910141
valid-003154,HAPPY,HAPPY,0.3704070150852203,자신하는,기쁨,열심히 노력하며 살아왔기에 모두가 나를 인정하는 것 같아서 기뻐. 이 인정을 그대로 유지하고 싶은데 어떻게 해야 할까? 사람들에게 믿음을 줬는데 앞으로도 그러려고 노력해야겠어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3590998649597168
valid-003676,HAPPY,HAPPY,0.364777535200119,감사하는,기쁨,사위가 아들 못지않게 나를 챙겨주고 존중해줘서 너무 고마워. 어쩔 땐 아들보다도 더 나를 챙긴다니까. 내가 어디 아프다고 하면 바로 달려와서 병원에 데려다주는데 참 기특해.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3489450216293335
valid-006544,HAPPY,HAPPY,0.3707533776760101,감사하는,기쁨,가족끼리 외식하고 왔더니 기분이 좋네. 오랜만에 함께해서 그런지 기분이 참 좋아. 자식도 아무 일 없이 무탈하게 커가고 감사하게 생각해.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3605144619941711
valid-003754,HAPPY,HAPPY,0.3710895776748657,감사하는,기쁨,가족이 정말 감사해. 화목한 가정이란 게 안식처더라고. 그치! 가족들에게 감사함을 전하고 싶어. 매일 고맙다고 말해주면 돼. 이것만큼 감사함이 전해지는 게 없어.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3490939140319824
valid-002458,HAPPY,HAPPY,0.373515248298645,기쁨,기쁨,고장 난 노트북을 수리 맡기는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐. 응. 저렴하지 않은 가격인데도 아빠가 사주셨어. 보호 필름도 붙이고 충격 완화 케이스도 사려고.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3538848757743835
valid-004267,HAPPY,HAPPY,0.3729881346225738,자신하는,기쁨,이번 프로젝트에서 반드시 성과를 거둘 것이라고 믿어. 팀원들이 능력이 좋아서 일이 아주 잘 진행되고 있어. 이 프로젝트에서 성과를 거두고 나면 나도 어엿한 회사의 중심이 되는 거지.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.358083575963974
valid-000130,HAPPY,HAPPY,0.3719980418682098,감사하는,기쁨,나는 내성적이지만 사교성 좋은 직장 동료를 만나서 잘 적응하게 되었어. 너무 감사해. 나는 대인관계에 공포가 있었는데 그 동료가 회사 내 테니스 동아리에 가입시켜 줬어. 덕분에 이제는 자신감이 생겼어.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3544843196868896
valid-001293,HAPPY,HAPPY,0.3734346032142639,기쁨,기쁨,회사를 그만둘 때 걱정 많았는데 프리랜서하면서 많은 일들을 맡았어. 좋은 시작을 한 것 같아서 기분이 좋네. 지금보다 일을 조금 더 확장해서 다양한 업무들을 담당해보고 싶어. 지금보다 일들이 더 많아질 테니 나와 뜻이 맞는 동업자를 찾아봐야겠어.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.3604313433170318
valid-004421,HAPPY,HAPPY,0.3709999322891235,만족스러운,기쁨,이 점수면 내가 원하는 대학에 갈 수 있을 것 같아서 너무 기쁘고 만족스러워. 응. 앞으로도 시험에서 이 점수만큼만 나와 주었으면 좋겠어. 안일한 자세를 갖지 않으면서도 포기하지 않고 더 열심히 노력할 거야.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.3526531755924225
valid-000433,HAPPY,HAPPY,0.3715377449989319,감사하는,기쁨,오늘 준비물 깜빡했는데 민우가 쉬는 시간에 뛰어가서 사다 줬어. 감동이야. 민우는 내가 덜렁댄다고 항상 챙겨줘. 정말 좋은 친구야. 지금보다 더 잘 놀아줄래. 더 웃기게 해주고.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3467451632022857
valid-001831,HAPPY,HAPPY,0.3662523627281189,느긋,기쁨,시간에 쫓기지 않도록 미리미리 결혼 준비를 해놔서 마음이 엄청 편해. 하지만 아직 완벽하게 준비를 완료한 건 아니라서 아직 더 준비할 게 남았어. 남자친구랑 상의해서 무엇이 더 필요한지 적어 봐야 할 것 같아.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.353403627872467
valid-001008,HAPPY,HAPPY,0.3754913508892059,신이 난,기쁨,부모님께 용돈 보내고 집에 가는 길이라 뿌듯해. 소싯적에 우리 가족 먹여 살리려고 정말 고생 많이 했거든. 자영업으로 성공한 내 도움에 우리 집은 재기할 수 있었어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3574645817279815
valid-000757,HAPPY,HAPPY,0.3724563419818878,신이 난,기쁨,엄마가 갖고 싶었던 신발을 사줬어. 날아갈 것 같은 기분이야. 엄마한테 고마운 마음을 전하고 싶은데 어떤 방법이 좋을지 고민 중이야. 엄마가 좋아하는 가수의 앨범을 사서 선물로 드리려고 해.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3575708866119385
valid-000694,HAPPY,HAPPY,0.3711510598659515,감사하는,기쁨,내가 보호자도 없는데 신경 써주는 간호사에게 너무 고마워. 날 더 신경 써주는 그 간호사가 참 좋은 분이라고 생각해. 조만간 고맙다고 진심을 전하고 싶어. 참 감사하다고.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3515246510505676
valid-002015,HAPPY,HAPPY,0.3757832944393158,만족스러운,기쁨,내가 오늘 현재 재정 상태로 노후 설계를 받았는데 아주 마음에 들어서 기뻐. 내 노후에 또 추가할 계획이 있을까? 거동이 불편하지 않을 때 아내와 해외여행 가는 계획을 추가해봐야겠어.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.359885036945343
valid-004265,HAPPY,HAPPY,0.3740352392196655,자신하는,기쁨,우리 회사는 관련 산업에서 국내 최고야. 이번에 기업들 평가가 발표되었는데 우리 회사가 가장 일을 잘한다고 나왔어. 이게 다 지난 수십 년간 땀 흘리며 고생해 온 결과라고 생각해.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3575253784656524
valid-003359,HAPPY,HAPPY,0.3688062727451324,만족스러운,기쁨,갱년기 우울증도 아내와 같이 노력한 덕분에 지금 많이 좋아져서 기뻐. 예전에는 갱년기 현상 때문에 너무 힘들었었어. 서로 갱년기 약도 챙겨먹고 서로 의지하면서 지냈더니 어느 순간 좋아지더라.,RELABEL_TO_CALM_RECOVERY_AND_SETTLING,CALM,0.3529978394508362
valid-000756,HAPPY,HAPPY,0.3723705112934112,신이 난,기쁨,오늘 너무 신나는 일이 있어. 내 방이 생겼어! 그런데 형과 방을 같이 써서 컴퓨터도 같이 썼거든. 내 방에 가져올 수 있을지 고민이야. 아무래도 형이 줄 것 같지 않으니 아빠한테 사달라고 말해볼까.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3464180827140808
valid-003497,HAPPY,HAPPY,0.3753869235515594,기쁨,기쁨,고장 난 노트북을 고치는 대신 아빠가 최신형으로 바꿔 주셔서 기뻐. 응. 저렴하지 않은 가격인데도 아빠가 사주셨어. 보호 필름도 붙이고 충격 완화 케이스도 살 생각이야.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3545065522193908
valid-006552,HAPPY,HAPPY,0.3719546198844909,감사하는,기쁨,출산을 무사히 마치고 퇴원했어. 많은 사람이 축하해줬는데 그분들께 너무 감사해. 출산 직후에는 정신이 없었는데 퇴원하고 여유가 생기니 주변 사람들에게 감사하는 마음이 들어. 그렇지. 이제 힘내서 사람들에게 감사 인사를 전하는 연락을 할 거야.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3585588634014129
valid-004543,HAPPY,HAPPY,0.3655710816383362,자신하는,기쁨,우리 딸은 날 더 좋아해. 다른 사람보다 날 더 많이 좋아하더라고.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3166104257106781
valid-005468,HAPPY,HAPPY,0.3728320598602295,감사하는,기쁨,이번 달도 월세가 잘 입금됐네. 일도 못 하는 나이인데 이렇게 꼬박꼬박 돈 들어오니 감사하지.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.351955384016037
valid-003767,HAPPY,HAPPY,0.3763653934001922,만족스러운,기쁨,의사가 찬물 말고 따끈한 물을 마시랬는데 효과가 있어. 설사가 많이 줄었어. 물 하나로 이렇게까지 바뀌니까 의사 말을 더 잘 들어야겠다는 생각이 들어. 앞으로는 말 잘 들을 테니 건강하게만 해달라고 하려고.,RELABEL_TO_CALM_RECOVERY_AND_SETTLING,CALM,0.349918007850647
valid-004616,HAPPY,HAPPY,0.3753359615802765,자신하는,기쁨,이번엔 공부 열심히 했으니까 분명 성적이 오를 거야. 부모님께 성적표 나오면 당당하게 내놓을 거야.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.34987872838974
valid-003454,HAPPY,HAPPY,0.3717377781867981,감사하는,기쁨,딸이 생일이라고 백만 원을 선물로 줬어. 딸에게 이런 선물을 받다니 너무 기뻐. 선물도 고맙지만 잘 키워주었다고 생각하는 마음이 예쁘지. 평생 함께 고락을 나눈 남편에게 자랑해야지.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.35826176404953
valid-000983,HAPPY,HAPPY,0.3709829151630401,기쁨,기쁨,내놓은 집이 원하는 가격에 잘 팔려서 기쁘네. 집을 팔았으니 그 돈으로 전원주택으로 이사하려고. 지금 집을 보러 다니기로 했는데 너무 기대돼.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3594469428062439
valid-006285,HAPPY,HAPPY,0.3755913972854614,기쁨,기쁨,결혼식이 드디어 내일로 다가왔어. 너무 기쁘고 행복해. 그동안 결혼식 준비로 여자친구와 힘든 일을 많이 겪어서 더 좋은 것 같아. 빨리 내일이 되어 멋지게 마무리 할 수 있었으면 좋겠어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3601611852645874
valid-000979,HAPPY,HAPPY,0.3721949458122253,기쁨,기쁨,너무 기쁜 일이 있어! 드디어 오늘 모든 대출금을 상환했어. 돈을 다 갚는 것이 이렇게 행복한 일인 줄 몰랐어.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3579727709293365
valid-002460,HAPPY,HAPPY,0.3763573467731476,기쁨,기쁨,동생이 며칠 동안 수련회를 가게 되어서 좋아. 동생이랑은 요즘 많이 싸우거든. 며칠 동안은 동생이랑 안 싸우고 조용히 지낼 수 있어. 텔레비전 맘껏 보고 컴퓨터 게임도 할 거야.,RELABEL_TO_CALM_RELIEF_AND_REASSURANCE,CALM,0.3581466972827911
valid-001837,HAPPY,HAPPY,0.3684254884719848,느긋,기쁨,나는 남자친구랑 같이 있으면 세상에서 가장 행복한 사람이 되는 것만 같아. 남자친구가 나한테 너무 잘 맞춰주고 내 이야기를 잘 들어줘서 더 행복한 것 같아. 나도 남자친구한테 잘 맞춰주고 이야기도 들어주면서 오래오래 사귈 거야.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.3518370687961578
valid-000754,HAPPY,ANXIOUS,0.2156540155410766,신이 난,기쁨,누나가 청소 내기를 하자고 했는데 내가 이겼어. 누나가 억지로 방 청소 내기를 하자고 한 건데 내가 더 빨리했어. 그런데 엄마가 시킨 것 같아. 내가 내기에서 이겼지만 그래도 누나를 도와주는 게 좋을 것 같아.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.2478120326995849
valid-003098,HAPPY,HAPPY,0.3728533983230591,신이 난,기쁨,아내와 같이 응원하던 야구팀이 우승 했어. 오랜만에 치킨과 맥주를 마시면서 응원도 하고 자연스럽게 대화도 많이 했어. 아내와 앞으로도 같은 취미생활을 더 많이 하려고 해.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3635174334049225
valid-000635,HAPPY,HAPPY,0.3733063042163849,자신하는,기쁨,나 이번에 새로 나온 최신 핸드폰 샀는데 애들이 부러워하겠지! 내가 용돈을 열심히 모으고 시험 잘 봤기 때문에 부모님께서 사주셨어. 빨리 학교에 가서 친구들에게 자랑하고 싶어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3581587374210357
valid-003842,HAPPY,HAPPY,0.3744885623455047,신이 난,기쁨,상사 분이 승진하셔서 짧은 축하 편지를 드렸어. 상사 분께서도 내 편지를 받고 좋아해 주셔서 기뻤어. 말로만이 아니라 직접 식사라도 대접해 드리고 싶어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3568601906299591
valid-003907,HAPPY,HAPPY,0.3710228502750397,기쁨,기쁨,내가 이제 드디어 정년을 맞이하게 되는구나. 내가 지금까지 일을 잘 해 왔다는 사실이 너무 기뻐. 내가 가진 능력들을 다른 사람들을 위해 쓰고 싶어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3599300682544708
valid-003507,HAPPY,HAPPY,0.375069111585617,감사하는,기쁨,거래처에서 납품 기한일을 미루어 주었어. 정말 감사해. 응. 거래처에 잘 말하니 그동안의 신뢰 관계가 있어 받아준다고 해서 기뻤어. 감사한 마음을 가지고 더 납품하는 물건에 신경을 써야겠어.,RELABEL_TO_CALM_GRATITUDE_WITH_LOW_AROUSAL,CALM,0.3643394112586975
valid-005333,HAPPY,HAPPY,0.3769765496253967,신이 난,기쁨,펀드에 넣어둔 자금이 많이 올랐어. 응 아주 신이 나. 생각보다 짧은 기간에 반등했어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3559463322162628
valid-001258,HAPPY,HAPPY,0.3720951080322265,흥분,기쁨,같이 일했던 상사가 옆집으로 이사를 왔다는데 너무 반갑더라고. 내가 그분을 많이 존경했었는데 이렇게 다시 뵙다니 인연이라는 게 참 신기하다. 앞으로 자주 왕래하면서 존경하고 감사한 마음 표현해야지.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3563366830348968
valid-002987,HAPPY,HAPPY,0.3708580136299133,신이 난,기쁨,그동안 고생한 아내에게 같이 준비한 노후자금의 반을 주려고 해. 너무 기쁘고 신나. 그동안 같이 고생했는데 아내의 몫을 온전히 줄 수 있어서 행복해. 이 노후 자금은 절대 간섭하지 않고 온전히 당신 것이라는 것을 얘기해 주겠어.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3559213280677795
valid-000127,HAPPY,HAPPY,0.3727867603302002,감사하는,기쁨,나를 응원해 준 친구 덕분에 용기를 내서 매니지먼트 회사에 지원했어. 지금이 너무 행복해. 일단 형제 같은 좋은 친구를 만난 것이지. 사람은 인복이 굉장히 중요하잖아. 지금 사랑하는 친구를 만나고 싶어. 오늘 거하게 먹고 마실 거야.,KEEP_HAPPY_ACTIVE_CELEBRATION_AND_REWARD,CALM,0.3565159440040588
valid-002356,HAPPY,HAPPY,0.3709343075752258,흥분,기쁨,오늘 딸아이 남자친구가 집에 온대. 기대되네. 첫인사인데 잘 준비하고 싶어. 우선 집 안 청소를 하고 음식 준비하는 아내를 도와야겠어.,KEEP_HAPPY_HIGH_AROUSAL_EXCITEMENT,CALM,0.3564404249191284
valid-000258,HAPPY,HAPPY,0.3711967170238495,느긋,기쁨,시골에서 동생과 함께 밤하늘을 바라보며 별을 세는 시간을 가졌는데 정말 좋은 시간이었어. 동생이랑 계속해서 함께 시간을 보내면 좋을 것 같아. 싸우지 않고 내가 먼저 같이 놀자고 해야겠어.,RELABEL_TO_CALM_STABILITY_AND_PEACE_OF_MIND,CALM,0.359182059764862
valid-004637,HAPPY,HAPPY,0.3711541295051574,자신하는,기쁨,나는 학교에서 따돌림은 당하지 않을 것 같아. 나는 친구들에게 인기가 아주 많은 편이거든.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.3363136947154999
valid-006607,HAPPY,HAPPY,0.3727619349956512,기쁨,기쁨,나 오늘 기분이 무척 좋아. 응. 내가 믿고 의지하던 부장님이 오늘 업무 잘 처리했다고 칭찬해 주셨거든. 앞으로도 잘 따르기로 했어.,KEEP_HAPPY_PROUD_RECOGNITION_AND_PRAISE,CALM,0.3582773208618164
valid-002588,HAPPY,HAPPY,0.3698663413524627,만족스러운,기쁨,유능한 의사 선생님께 수술을 받게 되었어. 정말 기뻐! 분명 내 병도 이제 나을 수 있을 거야. 정말 다행이야. 만약 이번에 치료가 잘 마무리되면 앞으로 건강을 먼저 챙기려고.,RELABEL_TO_CALM_RECOVERY_AND_SETTLING,CALM,0.3617909848690033
valid-003849,HAPPY,HAPPY,0.3766930997371673,자신하는,기쁨,우리 딸 성적으론 서울대도 그냥 갈 것 같은 자신감이 들어. 평소 딸아이의 성적을 보면 충분히 가능하리라 생각해. 성적은 충분하니까 좋은 음식으로 체력을 키우게 해 주고 싶어.,KEEP_HAPPY_CONFIDENT_FORWARD_MOMENTUM,CALM,0.353721022605896
