sample_id,candidate_bucket,service_label,approved_label,emotion_major,emotion_minor,predicted_label,predicted_score,joy_signal_count,calm_signal_count,review_note,text
train-037713,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37694916129112244,0,1,,금일 학교 폭력에 대한 교육을 받았어. 응 많이 배울 수 있는 기회였어. 더욱이 우리 학교는 학교 폭력이 없어서 편안하게 감상했어.
train-032726,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3768947124481201,0,0,,새로 들어온 상사와 좋은 관계를 맺었어. 다행이야. 진심으로 대하려고 노력했어.
train-005902,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37687796354293823,0,0,,예식 일정 때문에 웨딩홀 업체와 면담하고 왔어. 코로나 일구 때문에 어쩌나 했는데 위약금 없이 예식을 미룰 수 있게 됐어. 맞아. 이제야 한시름 놓고 마무리 준비를 하면 될 것 같아.
train-022803,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37681296467781067,2,0,,숙소에서 빠져나와 아내와 단 둘이 밤바다를 보러 나왔어. 아름다운 풍경을 봐서 행복해. 지금 너무너무 즐거워.
train-006305,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3767755329608917,0,0,,동호회에 갔다가 마음이 맞는 친구를 찾은 것 같아. 친구와 여행을 다녀올 계획이야. 그럼 그 친구에 대해 더 많은 것을 알 수 있을 것 같아.
train-037592,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3766416013240814,0,1,,어제도 식구들과 외식을 했어. 오랜만에 갈비를 맛보러 갔어 엄마아빠 모두 다 같이 가서 마음이 너무 편안했어.
train-022885,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37661972641944885,0,1,,은퇴하고 할 일을 대비해 미리 자격증을 따 놨어. 은퇴하면 준비된 상태라서 편안해. 내가 하고자 하는 일을 정말 할 수 있게 되겠지.
train-004964,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37658700346946716,0,0,,이번 주 금요일에 멋진 콘서트 표가 생겼어. 여자친구랑 같이 가려 했는데 그날 안 된다는 거야. 그런데 갑자기 일정이 취소되었다고 해서 같이 갈 수 있게 되었지. 얼마나 다행인지 몰라.
train-036447,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37654486298561096,0,0,,학원 선생님이 정말 든든해. 이번에도 시키는 대로만 했더니 테스트를 다 맞았어. 금번에 여행을 가는데 가서 선물을 사드려야겠어. 그리고 편지도 줘야지.
train-002682,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3765372335910797,1,0,,내가 육 개월 동안 다리가 저렸잖아. 고기를 멀리하고 채소를 많이 먹었더니 많이 좋아졌어. 친구가 그러는데 짙푸른 채소가 혈관 청소하는 데 좋다네. 앞으로도 채소를 많이 먹어야겠어.
train-022365,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3765094578266144,0,0,,근무하고 있는 아르바이트 사장님께 인정을 받아서 원하는 만큼 일할 수 있게 되어 다행이야. 응. 막상 사장님한테 인정받으니 이제 정직원이 되고 싶어졌어. 사장님이 없을 때도 내 일처럼 열심히 해야겠지.
train-022883,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3765016198158264,1,0,,재정이 넉넉해서 두 아이를 모두 유학을 보내게 됐어. 그동안 원했던 유학을 이제 보내게 되서 행복해. 벌 수 있을 때 많이 벌어놔야지.
train-010579,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37649136781692505,0,0,,나 아는 오빠가 스카이 대학교 다니거든. 진로 상담하기로 했어. 아직. 오빠하고 상담한 후에 결정하려고.
train-015084,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3764651119709015,1,0,,내 친구들이 내가 당한 학교 폭력에 증인으로 서주어서 좋아. 이 일로 이 사건이 잘 해결이 되겠지? 친구들이 증인을 서주었으니 걱정 안 하고 있는 것이 가장 좋은 방법인 것 같아.
train-033222,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3764438331127167,1,0,,건강 검진 결과가 나왔어. 다행히 결과가 좋아. 앞으로도 이렇게 유지해야지.
train-014366,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3764369487762451,3,0,,내가 입원해도 김 씨가 등산 동호회에서 내 자리를 언제나 비워두겠대서 기뻐. 김 씨가 날 소중히 생각하는 것 같아서 기분이 좋아. 고마움의 표시로 김 씨에게 반찬을 만들어 줘야겠어.
train-011684,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3764083981513977,0,0,,드디어 취업에 성공했어. 이번에도 못 하면 어쩌나 했는데 정말 다행이야. 입사일까지 시간이 있으니 지난번에 가려고 했던 여행을 가려고 해. 응. 한 달 정도 동유럽에 다녀올 생각이야.
train-028210,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37636658549308777,0,1,,치매에 걸리기 전 자식들에게 재산을 모두 물려주고 나니 한결 편안해졌어. 치매에 걸리기 전에 자식들을 채워줄 수 있다니 큰 기쁨이지. 치매에 걸리지 않도록 무던히 노력해야지.
train-015101,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37635523080825806,1,0,,자식들이 도와준다고 해서 잘 살 수 있을 것 같아 마음이 기뻐. 내가 은퇴가 얼마 남지 않아서 사실 걱정했는데 자식들이 도와준다고 해서 믿음이 가. 마음 편하게 은퇴를 맞이해도 될 것 같아.
train-033487,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37632623314857483,0,1,,나 드디어 결혼해! 그래서 너무 편안해. 이제 헤어지고 만나고 하지 않아도 되서 편안해.
train-032015,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37631916999816895,0,0,,아내를 깊이 신뢰하고 있어. 일흔이 다 되어서 깊은 신뢰가 들 줄이야. 내 당뇨병을 잘 관리해주고 있어.
train-032625,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3762776851654053,0,1,,싸웠던 친구와 오늘 화해를 했어. 굉장히 마음이 불편했었는데 화해하고 나니까 편안해졌어.
train-010828,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37624719738960266,0,2,,잃어버렸던 강아지를 찾았어. 며칠 동안 마음고생이 심했는데 이제는 마음이 편해.
train-016577,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37621673941612244,0,0,,의사는 아내의 극심한 통증에 비해 치료시기를 놓친 것은 아니니 걱정하지 말라고 했어. 다행이야. 극심한 통증이 심해서 걱정을 많이 했거든. 내가 더 잘 해야지. 간호도 잘해주고.
train-012354,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37619245052337646,1,2,,역시 산후조리는 친정엄마가 최고인가 봐. 마음이 편안해. 몸도 마음도 지쳤는데 엄마가 오니깐 너무 편하고 행복한 거 있지? 응. 그래도 나 때문에 고생하시니까 용돈이라도 드려야지.
train-030125,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3761650621891022,0,0,,선생님이 추천해주신 진로는 믿을만한 것 같아. 응. 괜찮은 것 같아.
train-033966,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37612125277519226,1,2,,재택근무가 더 마음이 편해서 좋아! 재택근무를 하면 다른 사람들의 눈치를 덜 보게 돼. 체력적으로도 덜 피로하여 컨디션이 좋아!
train-006414,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37611836194992065,1,0,,이번에 대리로 승진을 하게 됐어. 회사에서도 좀 빨리 승진한 경우라고 하더라고. 응. 동료들이 축하해줘서 기분이 더 좋아.
train-010074,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3761068880558014,2,0,,이직한 회사는 정말 좋아. 회사 가는 길이 기대돼. 일하다가 모르는 것이 있으면 선배가 친절하게 알려 줘. 이곳에서는 배워 나갈 수 있다는 생각이 들어.
train-023258,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3761002719402313,0,1,,이직한 회사에 아는 사람이 없어서 걱정이었는데 상사가 학교 선배였어. 정말 안심이 돼. 응. 직장 적응하는데 난감했는데 참 다행이야. 학교선배인 상사의 도움을 받아 환영회를 부탁 드려야겠어.
train-023561,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37606966495513916,1,0,,요즘 너무 기뻐. 자식들이 모두 안정적인 직장에 취직을 해서 재정적인 걱정을 할 필요가 없어졌어. 자식 걱정이 없어졌으니 남편과 함께 시골로 내려가서 농사나 지으면서 살려고.
train-025361,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3760521709918976,0,2,,십 년 넘게 자기 가게처럼 일해준 순이 엄마에게 가게를 물려줬어. 마음이 편안해. 가게 물려주고 나는 은퇴해서 치료를 받기로 했어. 가게도 물려줬으니 나는 앞으로 마음 편히 치료에 전념해야겠어.
train-010779,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3760351240634918,2,0,,어려운 수학 숙제를 이제야 겨우 끝냈어. 조금 힘들었지만 끝내고 나니까 기분이 좋아.
train-001113,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37602919340133667,0,0,,내가 실수해도 나를 도와줄 사수가 옆에 있어서 든든해. 좋은 사수를 만난 것이 복인 것 같아. 일을 빠르게 배우고 있다고 사수에게 칭찬도 들었어. 여러 가지 상황을 많이 접해 보면서 요령을 터득하는 게 비결인 것 같아.
train-031629,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3760266602039337,0,2,,내가 암에 걸려서 살 수 있는 날이 얼마 남지 않았어. 이제는 다 정리하고 갈 준비를 해놓아서 마음이 편해. 응. 오히려 마음이 편하더라. 이제 남은 시간을 잘 보내보려고 해.
train-030860,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3760162889957428,0,1,,요즘 나는 너무 편안해. 대인관계가 원만해서 그런가봐.
train-028160,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3759870231151581,2,0,,여자인 내가 중년이 다 됐는데도 중요한 프로젝트를 맡게 되었어. 기쁘고 행복해. 나이가 들어서도 나의 진가를 알아주나 싶어서 기분이 많이 좋네. 잠을 덜자고 프로젝트에 매진할 거야.
train-015531,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37598147988319397,0,1,,아내가 퇴원 하고 자식들이 온돌침대를 선물로 줬어. 아내가 편안해 해서 너무 좋다. 온돌침대를 준 자식들에게 너무 고마워서 고마움의 표시를 하고 싶네. 오랜만에 자식들에게 용돈을 주는 게 좋을 것 같아.
train-036567,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3759562075138092,1,0,,오늘 부모님 결혼기념일인데 뭘 해드려야 좋아하실지 고심중이야. 맞아. 작년에는 케이크를 만들어 드렸는데 많이 좋아하셨거든. 그럴 생각이었는데 작년처럼 케이크를 하고 편지도 함께 드려야겠다.
train-011298,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37595149874687195,1,0,,극적으로 양가 부모님 이견이 조율되어서 결혼할 수 있게 되었어. 정말이지 너무나 힘들었거든. 이제 드디어 식을 올릴 수 있어서 다행이고 기뻐.
train-026593,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37595123052597046,0,0,,내일 내가 취직하고 싶은 기업의 면접이 예정 돼 있어. 혼자 가면 긴장 했을 것 같은데 내 친구랑 같이 갈 계획이라 든든하고 믿음직스러워.
train-035339,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3759332299232483,0,0,,형이 구매했던 주식이 제자리로 돌아왔대. 정말 다행이야. 형이 돈을 많이 벌어서 용돈을 주면 좋겠어. 형의 심부름을 하면서 용돈을 달라고 해야겠어.
train-030618,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37590736150741577,0,0,,이 때까지 어떤 과를 가야될지 고민이 많았는데 이번에 직업 박람회가서 내 흥미 적성을 찾은 것 같아. 비행기 조종사. 지금부터 항공쪽 과를 목표로 해서 공부하면 되겠다. 빨리 진로를 찾게 돼서 다행이야.
train-005100,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3758994936943054,0,2,,지난주에 다퉜던 친구와 다행히 화해했어. 응. 잘 화해해서 마음이 편해. 내가 먼저 진심으로 마음을 이야기했어.
train-025626,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37589484453201294,0,1,,당뇨로 약을 계속 먹어야 하는데 약값은 걱정하지 않아도 된다고 해서 마음이 놓여. 이 상황이 불행 중 다행이라고 생각해야 할까? 만성질환이 생겨 육체적으로는 힘들지만 재정적으로는 안도가 돼서.
train-023768,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3758888244628906,0,3,,얼마 전에 내시경을 했는데 마음이 편안해졌어. 내시경을 통해서 궤양이 사라졌다는 것을 알게 돼서 마음이 편해. 음식을 앞으로도 골고루 먹어야겠어.
train-009592,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37588852643966675,0,0,,가족들과 여행을 잘 다녀왔어. 제주도 이 박 삼 일로 다녀왔어. 저녁에 먹은 흑돼지 삼겹살이 가장 맛있었고 좋았어.
train-024014,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37586551904678345,1,0,,부정맥으로 병원에서 진찰을 받은 형님이 수술을 안 받으셔도 된다니 정말 기뻐. 형님에게 잘 해드려야겠어. 형님에게 응원하는 말을 해드려야겠어.
train-009724,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3758170008659363,0,0,,이번 영어 시험에 통과했어. 지난번에 한 번 탈락해서 마음 졸였는데 이번에 통과해서 한시름 놨지. 다음번에는 한 번에 통과할 거야.
train-030219,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.375813364982605,0,0,,학교에서 폭력을 당한 아이들이 부모님을 모셔왔어. 다행히도 부모님들이 많이 양보해 주셔서 계속 학교는 다니게 됐어.
train-032731,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3758045732975006,0,0,,이번 정리해고에서 살아남았어! 다행이야. 우리 부서가 없어지면서 마음을 많이 졸였는데 나는 타부서로 이동해서 남게 되었어.
train-003071,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37574562430381775,0,1,,나는 노후 걱정이 없어. 아주 편안해. 몇 년 전에 산 아파트 가격이 많이 올랐어.
train-005282,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37571951746940613,0,0,,국가에서 지원해 주는 여러 노인복지가 많아서 다행이야. 그 덕분에 수입이 없어도 그럭저럭 살아갈 수 있지. 국가에 보호받는 느낌이 들어. 그렇게 말해주니까 으쓱하는걸.
train-036199,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3757060766220093,0,0,,중학교 때 진로를 미술로 빨리 선택한 덕분에 대입 준비가 한결 수월해져서 다행이야. 그래. 그 때 선택을 지금도 후회하지 않아.
train-015253,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37568482756614685,1,0,,아들이 대학에 떨어져서 슬퍼했는데 오늘 추가합격으로 합격해서 정말 기뻤어. 떨어질 줄 알았는데 최종합격을 해서 감동이었어. 진심으로 축하하고 싶어. 아들에게 고생했다고 좋은 레스토랑에 데려가고 싶어.
train-029512,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3756480813026428,0,0,,육아휴직으로 오늘 직원이 한명 더 온대. 부족하진 않았지만 일의 여유가 생기겠어.
train-008501,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3756428360939026,1,1,,드디어 직장에서 적응해서 제대로 일을 하고 있어. 정말 기뻐. 실수도 많이 안 하고 불안했던 마음도 좀 편안해진 것 같아. 지금처럼만 하면 될 거야.
train-010924,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37562838196754456,0,1,,마음이 한결 편안해. 날아갈 것 같다고. 회사 업무를 미리 다 해두었거든. 그래서 이번 주는 할 일이 딱히 없을 것 같아. 내 일은 다 마쳤으니 동료들이 힘들어하는 일을 같이 거들어 줘 볼까 해.
train-029325,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3756234347820282,0,2,,얼마전에 전문가에게 내 재정관리를 맡겼는데 믿음이 가고 마음이 편안해. 내 재정상황을 잠깐 보고도 잘 파악하더라고.
train-029445,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.3756098449230194,0,1,,등산 갔다가 끝나고 사우나에 가는길이야. 사우나 갔다오면 몸이 편안해져.
train-018570,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37559109926223755,0,0,,아내와 나 모두 연금을 받을 수 있는 나이가 되고 생활이 안정적이게 되니까 정말 다행이야. 나 혼자 연금을 받을 때는 사실 고민이 많았어. 연금 나오기 전에 모아두었던 목돈으로 해결해서 다행이야.
train-035393,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37554338574409485,0,2,,펀드매니저의 도움으로 자산을 안전하게 투자하였어. 그래서 마음이 편해졌어. 펀드매니저의 도움이 없이도 내가 투자를 할 줄 알면 좋겠어. 나도 투자에 대해서 공부를 해야겠어.
train-012389,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3755415081977844,0,0,,우리 반 반장은 참 믿음직스러워. 응. 또래 애들 같지 않게 의젓해서 마음에 드네. 응. 내가 없어도 반을 잘 이끌 수 있을 것 같아.
train-018170,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.37552136182785034,0,0,,정말 감사한 일이야. 내 부하직원들이 업무 서포터를 아주 잘해줘. 맞아. 딱히 내가 지시 내리지 않아도 알아서 해준다는 게 얼마나 고마운지 몰라. 이번에 모바일 상품권이라도 조금씩 챙겨줘야겠어.
train-012314,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37548986077308655,0,0,,면접에서 떨어진 줄 알았는데 최종 합격이래. 경쟁률이 높아서 걱정했는데 다행이야. 적금부터 들고 싶어.
train-022366,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37548691034317017,1,1,,룸메이트가 편해서 너무 기뻐. 생각지도 못한 가족이 생긴 것 같아. 룸메이트가 배려를 잘 해주고 잘 챙겨주는 것 같아.
train-011955,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3754766285419464,0,0,,며칠 전에 누나가 출산을 했다는데 다행히 순산했다고 하더라고. 조카도 조카지만 누나가 잘못되지 않았다는 게 마음이 놓여. 응. 조카도 누나도 얼른 퇴원해서 편하게 만나고 싶다.
train-033233,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3754701614379883,2,0,,남편이 이제 말수가 늘었어. 너무 다행스러워! 퇴근하고 오면 하루에 말하는 문장이 세 개 이내였어! 직장에서 일이 자꾸 꼬였는데 지금은 잘 해결이 되어서 기분이 좋아 말도 많아진 거야!
train-017079,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.37546491622924805,0,0,,손녀의 돌잔치를 앞두고 다리를 다쳤어. 근데 재활치료를 전념한 결과 아무런 보조 장비 없이 참석했어. 지금보다 더 재활 치료를 열심히 해서 빨리 완전히 회복해야겠어.
train-015250,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,안도,HAPPY,0.3754635453224182,1,0,,아내가 실직해서 고심 중이었는데 내가 더 좋은 조건의 회사로 가게 되어서 다행이고 한시름 놓아서 기뻐. 요즘 취업이 힘든데 더 좋은 곳으로 일하게 되서 가족끼리 축하하고 싶어. 오늘 집에 가는 길에 맛있는 음식과 술을 살 사갈 생각이야.
train-033249,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,편안한,HAPPY,0.37545299530029297,1,1,,결혼을 하고 나니 생활이 더 안정감 있는 것 같아서 너무 좋아. 맞아. 가정을 꾸리면서 어려운 점도 있었지만 편안함이 더 큰 것 같아.
train-020576,CALM_TO_HAPPY_BOUNDARY,CALM,,기쁨,신뢰하는,HAPPY,0.3754493296146393,2,0,,나에게 잘 맞는 공부법을 찾은 거 같아서 기분이 좋아. 너무 마음에 들어. 능률이 잘 오르는 것 같아. 그래. 계획을 세워서 하면 더 많이 할 수 있어.
